,head,topic_rep,"0.63: Qandeel murder case, sexual harrasment, child abuse reports"
1271,Lahore High Court directs govt to confirm deportation of Turkish family,0.134968936,
564,NON-FICTION: THE SOUL OF A NATION,0.134755746,
2026,Eight of family die from ‘toxic food consumption’,0.134488821,
2,Thousands march in Dublin against Irish abortion laws,0.134146392,
1460,"Campaigning for NA-4 seat, JI chief extols Mumtaz Qadri's 'heroism'",0.133974418,
489,Health: Guard your brain power!,0.13369298,
1092,Probe launched into journalist’s killing,0.132749081,
580,Police release driver after crash near London museum,0.132522464,
1132,Chief justice urges for a judicial system in which women can speak openly,0.13223885,
50,Indian policeman arrested for raping 7-year-old girl,0.130689204,
2311,Non-bailable warrants for arrest of Farooq Sattar,0.130534858,
1511,"Bilawal terms differences with Imran ideological, slams his support for Musharraf",0.129692644,
284,Turkish court finds 42 soldiers guilty of trying to kill Erdogan,0.129294336,
648,Farhatullah Babar championed causes that few other parliamentarians did,0.128944248,
59,IMAGINATION IS A DANGEROUS BEAST,0.128928214,
132,Mahira Khan is out for revenge in Verna's first teaser,0.127515793,
324,Ittefaq's bone-chilling trailer is out now,0.127218306,
731,Police take Gazeen Marri into custody again for interrogation into terror cases,0.127038285,
1264,Indonesian fans mourn death of goalkeeper after mid-game collision,0.126523748,
1293,I'm a Pakistani inmate at Guantanamo and here's why I'm on hunger strike since 2013,0.126040354,
1534,Footprints: Scars that run deep,0.125695363,
277,Poll shows disapproval for Trump’s Puerto Rico response,0.125624686,
1270,Teenage girl stabbed by unidentified person in Karachi: police,0.125294104,
460,Police probing IS claim about Jhal Magsi shrine suicide attack,0.124686636,
1806,Families get bodies of two Ansarul Sharia militants for burial,0.124680735,
1491,Seeing orange,0.124242939,
1989,Sana Javed is making a comeback to television with Khaani,0.124100052,
2241,JFK documents release does little to quell conspiracy theories,0.122875594,
1760,Russian journalist in 'serious condition' after knife attack,0.120737836,
1311,"Let nobody's opinion define who you are, says Mahira as she's announced L'Oréal spokesperson",0.120039634,
497,Orthorexia: When healthy eating does more harm than good,0.119840048,
1909,Blogger claims he was 'tortured' during detention: BBC report,0.116502397,
1160,Where do stockbrokers’ allegiances lie?,0.116318598,
187,Another symbol of resilience from Swat valley,0.116122745,
2073,Riz Ahmed fourth among 101 most influential Asians in Britain,0.115174428,
410,The powers that be,0.114839263,
63,ALEXI PICKS,0.114391446,
712,London mayor to visit Pakistan to boost trade ties,0.114357248,
1443,UK mulling hate speech charges against Altaf Hussain,0.114099257,
2208,The coup trap,0.113908321,
1819,Senate body approves bill for increase in marriageable age for girls,0.113561787,
1993,Tillerson-Ghani meeting speaks volumes of American failures in Afghanistan: Asif,0.113448046,
179,"After Las Vegas massacre, Trump silent on gun control",0.113429695,
1486,"Great art with humanism should scale down discrimination and violence, says Rahul Bose",0.11332994,
290,Sindh police’s jailbreak probe body recommends removal of IG prisons,0.109180599,
624,9 points to remember if you're seeking therapy for mental health challenges,0.108999602,
1062,"Nothing wrong with army chief commenting on the economy, Khursheed Shah says",0.107137434,
1438,NAB team in London to probe Sharifs’ properties,0.106239095,
552,"Security measures at Karachi prison still unsatisfactory, judge’s visit reveals",0.105877265,
2365,A paranoid state,0.105847821,
2010,UN rapporteur urges Iran to stop harassing BBC Persian staff,0.105352625,
647,Giving up jihad,0.105341278,
368,"LJ militant killed in ‘encounter’, major acts of terrorism in city averted",0.105304107,
1015,Everything you need to know about the kidnapping and recovery of Caitlan Coleman and Joshua Boyle,0.105052076,
1166,Warner fires salvo to spark Aussies for Ashes battle,0.104720488,
2185,NON-FICTION: ONE-SIDED VIEW,0.103400558,
331,"PAF's Thunder, UK's Red Arrows' joint airshow enthrals spectators",0.100898288,
1473,The patchy world of Urdu newspapers,0.100702643,
751,Two ‘missing’ MQM-L men resurface to quit party,0.100452669,
149,Geo News fined Rs1m for 'institutional corruption' comments against army,0.099301554,
1301,Qatari man arrested at Lahore airport while trying to smuggle 9 falcons worth Rs50m,0.099098675,
1224,"Unions condemn killing, disappearances of journalists in FATA, KP",0.098794773,
1918,Prosecutor representing KP govt in Mashal Khan murder case quits legal team,0.098653667,
622,"Sexual assault on boys in Kasur: Sociologists, psychologists to help find out causes of crime",0.098491289,
299,A historiographical account of Mughal India,0.098344117,
282,CIA official terms N. Korean supremo rational actor,0.098060027,
162,World condemns Las Vegas tragedy as ‘act of terror’,0.097421497,
1104,"UK army chief briefed on Raddul Fasad, border management",0.097135849,
2167,Pervaiz Ashraf questions ‘leniency’ to Sharifs,0.09688849,
1813,"Imran Khan more forthcoming than Sharifs, says SC judge",0.096789271,
1143,US drone kills 14 IS militants in Afghanistan: officials,0.093906164,
729,7 celebrities who've spoken out about dealing with mental illness,0.093122505,
1988,Gulzar's outpourings tell us of the unimaginable human cost of Partition,0.09269578,
1603,"Tortured body of transgender person found in Peshawar, say police",0.091454349,
2086,Journalist Ahmed Noorani attacked by knife-wielding assailants in Islamabad,0.091157399,
417,Footprints: what happens in Vegas,0.090639673,
341,No room for the truth,0.089325152,
444,12 held in MDCAT question paper leak scam,0.08897958,
895,"Balochistan government suspends 140 doctors for absence, negligence",0.088095218,
2031,Police keeping close eye on Blue Area sit-in by religious parties,0.087574802,
198,I thought Postpartum Depression would never happen to me; I was wrong,0.087024212,
1670,NARRATIVE ARC: STANDING AT A SLIGHT ANGLE,0.086866483,
660,What is the future of Maula Jutt?,0.085894458,
1925,Here's what Oscars 2018 submissions from South Asia look like,0.085758597,
1278,Girl injured in ‘knife attack’ in Karachi,0.085010469,
289,Reports of ‘recruitment’ of prisoners in Karachi jail by IS rejected,0.084675968,
493,Downgrading the Taj,0.08307974,
1297,Nomi Ansari's colourful signature shines the brightest on PLBW Day 3,0.082322985,
2199,"Literary festivals important to keep militancy, extremism at bay, says Sindh culture minister",0.082011558,
61,NON-FICTION: A GOD IN EVERY STONE,0.081950456,
477,"Shaheer Niazi, the 'electric honeycomb' researcher, aims to bring the Nobel home",0.081844017,
405,Na Maloom Afraad 2 banned in Punjab after 5 weeks of screening,0.081708588,
1725,Stone’s JFK can be credited for Kennedy documents release,0.081003241,
1687,5 former US presidents take stage at hurricane benefit concert,0.080498762,
878,Comedian Syed Shafaat Ali will make his drama debut in 'Romeo Weds Heer',0.080243394,
2156,Maryam’s ‘leadership boast’ jolts embattled PML-N,0.080194674,
1916,11 Afghan troops killed in Taliban attacks,0.078383312,
184,"Vegas gunman Stephen Paddock: retired accountant, heavy gambler",0.078252584,
469,CAA suspends PIA pilot’s licence for violating rules,0.076552972,
412,LHC extends stay on Turkish teachers' deportation,0.076095767,
1584,PML-N challenges Imran’s revised concise statement,0.075520791,
1549,Thinking critically — really?,0.075512551,
1855,US Secretary of State Rex Tillerson arrives in Islamabad,0.073155977,
1673,WHERE SHOULD HAZARAS GO?,0.073039711,
590,"Foolproof security at all shrines in Sindh ensured after Jhal Magsi tragedy, says Siyal",0.072976962,
1601,Story Time: A cruel deed,0.072619766,
1906,"Bollywood is sexist, researchers claim after analysing 4,000 Indian movies",0.072051398,
1394,Lawyers may withdraw contempt plea against police officers,0.069797859,
534,Pakistani among three charged with plotting NY attacks,0.069664374,
189,Goodwill after Pak-Afghan meeting?,0.06923271,
1928,MQM-P activist Dr Naushad shot dead in Hyderabad,0.06882038,
1304,Two tribal journalists freed after a day of captivity,0.068640865,
1756,10 unforgettable moments from the Hum Style Awards 2017,0.068335697,
959,Rescued captives fit to travel but destination undecided: official,0.068189979,
128,It remains to be seen where money for Imran's London flat came from: SC,0.06800393,
1315,Woman gives birth outside Raiwind hospital after being refused entry by staff,0.067962565,
195,"Islamabad admin, police ‘in the dark’ over Rangers’ deployment at court",0.067759015,
1635,Shaharyar takes somersault to deny ‘weak PCB case’ statement,0.067619376,
821,"Three decades of friendship with Aamir Zaki, Pakistan's unsung guitar hero
",0.067327879,
1922,Gunman on the run after killing two on a university campus in US,0.06697464,
2209,SMOKERS’ CORNER: EVAPORATING GOVERNANCE,0.066302799,
357,"US to ask Nato allies to spare 1,000 troops for Afghanistan",0.064887218,
1068,Is IS actually bad? UnIslamic?,0.064857185,
370,ISPR chief justifies Rangers’ deployment at courts,0.064624943,
1432,Warner brings out the old ‘Bull’ to ignite Ashes,0.063350126,
689,NAB team to leave for London to collect evidence of Sharif properties,0.0633085,
904,Situationer: Living 'a constant nightmare',0.063161246,
1106,"Clash among institutions dangerous for country, says PPP leader",0.062617563,
1700,SMOKERS’ CORNER: CHANGING THE PARADIGM,0.061913237,
1990,Court dismisses application requesting filing of case against Safdar over anti-Ahmadi speech,0.060699016,
551,Punjab Censor Board reverts ban on Na Maloom Afraad 2,0.059530616,
649,Centre asked to end its ‘unfair treatment’ of Pakhtuns,0.059449635,
1935,Campaign of the Year goes to Farigh Four,0.059365895,
1459,What makes Fahad Hussayn so angry?,0.05828879,
433,"Ahsan Iqbal asks clerics, religious leaders to condemn 'jihad fatwas' posted on social media",0.057111558,
1624,Two held over social media content,0.056836054,
1359,Law lacks mode of service of tax notices,0.056659054,
268,'Clerical error' that affected Khatm-i-Naboowat laws to be fixed: Ayaz Sadiq,0.056491978,
2115,Australian govt in turmoil after deputy PM disqualified,0.055914585,
102,Google launches new policy to boost news organisations' subscriptions,0.055874228,
1481,Experts seek enforcement of mental health law,0.055575196,
2154,FICTION: WAYS TO MESS IT UP — AGAIN,0.055557083,
711,"PML-N's Capt Safdar lashes out against Ahmadis, faces backlash on social media",0.055515319,
343,Las Vegas shooter's girlfriend denies knowledge of planned carnage,0.054689888,
333,Hamas appoints military chief as deputy leader,0.054648753,
1834,Two women killed in Indian firing on civilian population across Line of Control,0.054561593,
106,Pakistani-American actor Faran Tahir to appear in 'Scandal',0.053759832,
1872,NAB team returns from London claiming ‘partial success’,0.053227928,
38,NON-FICTION: THE POET’S QUEST,0.053014718,
372,‘Issue of missing Turkish family needs parliamentary intervention’,0.052766189,
1812,"On way back home from London, Sharif makes detour to Jeddah",0.05162479,
782,A tale of two private members’ bills,0.051610764,
733,PCB names 14-member women's cricket squad for New Zealand series,0.051522702,
1958,Ex-PM asks IHC to club all cases against Sharif family,0.050557278,
2170,"Federation to suffer if next elections not held on time, says Rabbani",0.050474271,
90,Editors and their policies,0.050375819,
1858,"Khwaja Khizr: The saint who 'saved' Rohri, Sukkur and Lansdowne Bridge during the 1965 War",0.049730957,
883,Here’s how you can file your income tax in Pakistan,0.049624391,
366,Accountability court episode: PML-N ‘confrontational mode’ riles Shahbaz,0.049575921,
650,Hospital officials suspended for dumping waste in river,0.04955608,
659,Who is listening?,0.049184524,
40,Trump calls Puerto Rican officials after lashing out at pleading mayor,0.048427507,
1126,Azad Jammu and Kashmir ─ Pakistan's treasure chest of rubies,0.047995083,
87,'Whose orders is Rangers following?' Ahsan Iqbal lashes out at force for blocking entry to court,0.047608867,
1582,Punjab University professor wins Unesco prize,0.046867631,
767,‘Fake’ list of MNAs with links to militants not an inside job: IB chief,0.04645339,
1488,"Producing an animated film is harder, costlier than producing a live action film, says Allahyar director",0.046432655,
223,"England set to lose Ashes, with or without Stokes: Blewett",0.045949526,
540,Navalny supporters rally across Russia on Putin’s birthday,0.045265347,
1737,Einstein’s theory of happy living emerges in Tokyo note,0.044812333,
1620,35 Egyptian police officers killed in militant ambush,0.044462986,
221,Eroding democratic values,0.044350896,
2292,Chinese agency distances itself from death of Russian teenage model,0.043597218,
421,Japanese reporter died in 2013 after 159 hours of overtime,0.043182541,
2061,How an eight-year-old in Paris gave me new hope for India and Pakistan,0.042461053,
1732,PTI questions expenditure on Sharifs’ protocol,0.042429302,
1384,Critics praise Aamir Khan’s Secret Superstar for its rebellion against patriarchy,0.041694257,
708,NAB directed to probe sale of PIA plane to Germany museum,0.041683614,
1049,Story Time: An alien friend,0.041059714,
1816,Women protest against braid-chopping incidents in held Kashmir,0.040572122,
48,4 people injured in 'terrorism' attack on officer in Canada,0.040547144,
940,"Robbers deprive travel agent of more than Rs300,000 in red zone",0.040401664,
1517,SC intends to thrash out sadiq and ameen provision,0.039849304,
1201,‘Proposed Sindh law will muzzle freedom of speech’,0.038407303,
1392,Pakistanis pamper me and everyone wants to take a selfie: Om Puri on filming in Pakistan,0.038194064,
1292,"SC notes inconsistencies in Imran's money trail regarding 100,000 pounds",0.037357207,
192,7 celebrities whose street style is on point,0.0369238,
134,US trio wins physics Nobel for detection of waves from black hole collisions,0.035693057,
874,Rohingya exodus 'to their motherland' is 'exaggerated': Myanmar army chief,0.035663676,
1000,"There's more to Dr Asfi than 'the romantic element', says Ahad Raza Mir of Yakeen ka Safar",0.035612438,
2151,Body formed to probe attack on Ahmed Noorani,0.035491537,
1469,Karachi woman hurt with 'sharp object' by motorcycle rider,0.035345703,
1310,Miles to go,0.034726422,
724,Special report: The legendary Liaquat 1895-1951,0.03444029,
2044,"Juveniles facing abuse in jails of Balochistan, says legislator",0.033922359,
496,A deafening silence,0.033572737,
554,"SRK's Hindi version of Ted Talks hopes to offer ""lifelong learning"" to Indian viewers",0.03328466,
2203,Ayesha Gulalai's former secretary gunned down in Laki Marwat,0.032917008,
1903,Why the West grew rich,0.031393211,
1001,Footprints: paradise in neglect,0.031381581,
1128,"Imran threatens to hold 'massive' rally if PML-N continues to 'malign judiciary, army'",0.031101948,
1072,Family freed from Taliban in Pakistan arrives in Canada; says 1 child killed in captivity,0.030955145,
486,A treasure trove of history,0.03056306,
1744,View from abroad: Bored of Brexit,0.030317772,
1626,Why Quetta's sole library is unable to accommodate its 4000 patrons,0.030278416,
334,"Rohingya started new Rakhine fires, claims Myanmar army",0.030103354,
2012,"I learn a lot from the young people I work with, says Nimra Bucha",0.028835002,
1627,"Don’t know if I’ll become a full-time actor in the future, says Dangal's Zaira Wasim",0.02877105,
1349,"Commission can probe Tareen’s assets, suggests SC",0.028671235,
971,Resolution berates Rana Sana’s remarks,0.028623994,
766,Govt uses Senate session to defend itself,0.028613664,
788,School a rare sanctuary for traumatised Rohingya children,0.028030528,
96,Marseille stabbing suspect released from custody day before attack,0.027933607,
212,‘Occupation forces out’: hundreds of thousands protest in Barcelona,0.027645605,
347,NA passes bill to restore Khatm-i-Naboowat declaration to original form in Elections Act 2017,0.027619854,
1668,NON-FICTION: CYCLICAL CYNICISM,0.027044695,
2162,Kunar’s deputy governor abducted in Peshawar,0.026753847,
1179,Nawaz Sharif distances himself from Safdar’s anti-Ahmadi remarks,0.026327837,
1176,View from abroad: Waiting for freedom,0.026141886,
1162,Addressing Pakistan’s modern slavery problem,0.025185181,
286,Google unit forms ethics body for artificial intelligence,0.02517749,
2308,Germans seek to dislodge grounded freighter amid ecological fears,0.024324464,
820,Growth in a well regulated market,0.024159746,
1912,"Pakistan says US should accept defeat in Afghanistan, agrees to assistance on equal terms",0.024029778,
550,This wildlife photographer hopes to save Pakistan's dying birds with his lens,0.023866273,
35,Election symbol allotted to Tehreek-i-Labbaik Pakistan,0.023847474,
337,"ISPR discusses security, civil-military relations and regional policy in wide-ranging press conference",0.022332298,
1058,Hafiz Saeed to be kept in house arrest under MPO ordinance,0.021886397,
835,Rangers’ powers extended for another 90 days,0.02170049,
129,Rohingya militants in Bangladesh camps eager to fight,0.02162184,
2129,Walking the talk,0.021422744,
553,Coup talk,0.021368794,
687,Abbasi tells National Assembly IB list a ‘forged document’,0.021295993,
302,Opposition protests absence of ministers in NA,0.02118049,
664,Almost 150 go on trial over Turkey coup bridge massacre,0.02073154,
270,"How much is Ishaq Dar worth, in his own assessment?",0.020533035,
839,‘No lecturer posted in Naudero girls’ college since inception’,0.020107612,
1920,US told that Pakistan is not a safe haven for terrorists: Khawaja Asif,0.019853083,
1125,Hindu mob snatches 51 cows from Muslim family in Rajasthan,0.019842656,
2022,Ex-CIA chief proposed plan to discredit Turkish cleric,0.019695882,
1970,Horse-racing fraternity suggests steps to improve falling standard,0.019692874,
1617,PML-N in a bind over ex-PM’s fate,0.0196329,
73,Special Report: Democracy in Disarray 1974-1977,0.019350277,
891,"Student dies in Sialkot road accident, protesters set bus on fire",0.018849956,
1861,Far-right AfD vows ‘new era’ at German parliament debut,0.018350262,
1999,China's Communist Party praises Xi as Marxist thinker,0.018245528,
1474,Veteran actor Shabnam will play her own superfan in upcoming Pakistani drama,0.018147966,
1406,Long road to a dubious victory,0.017898832,
2274,"PPP will not tolerate a technocratic political set-up, says Bilawal",0.017497241,
147,Netanyahu rejects Palestinian reconciliation unless Hamas disarms,0.01726017,
1845,"Xi tightens grip on China as Communist Party adds his name, ideology to constitution",0.016723441,
2040,"Dutch know-how may have gone into weapons of mass destruction, say ministers",0.016674517,
1697,Russia confronts its past in teaching of 1917 revolution,0.016343653,
2260,"England ready for Aussie sledging war, says Root",0.015822913,
2039,Footprints: A long-drawn apology,0.015809409,
1260,Drug inspectors allow sale of fake medicines,0.015591861,
524,Realpolitik and the crude glue,0.015293378,
108,PTI invites opposition to block Elections Bill 2017,0.014868262,
822,Does the new 'Star Wars' trailer tell us Princess Leia's fate?,0.014849408,
1509,"Museums need to reinvent themselves to get people's interest, says Aga Khan Museum director",0.014792084,
973,Quiz: How well do you know Nusrat Fateh Ali Khan?,0.013888892,
476,Making Islamic finance a reality,0.013880539,
135,"10,000 Rohingya at border as exodus swells again: Myanmar media",0.013112379,
1555,Protesters in Florida keep white supremacist leader from delivering speech,0.013033429,
115,Will PFDC L’Oreal Paris Bridal Week help designers exit their comfort zones?,0.012815303,
2149,"Is $100,000 middle class in America?",0.012777922,
1149,China Communist Party agrees to amend constitution,0.01277208,
2182,Bangladesh eyes sterilisation to curb Rohingya population,0.012594672,
422,The Pakhtun Cultural Museum has only empty shelves,0.012560676,
10,What nine countries founded in past 25 years teach Catalonia?,0.012487382,
186,"'I've been removed repeatedly but you keep bringing me back,' says re-elected PML-N head Nawaz",0.012462769,
2078,"PTI retains NA seat in Peshawar by-election with 45,734 votes",0.012341144,
283,Halep dumps Sharapova out of Beijing,0.011856794,
1077,The growing khaki shadow,0.011535406,
363,Catalan standoff touches hearts beyond Spain,0.011161217,
77,'Skin and bones': doctors fear for malnourished Rohingya kids,0.010733454,
167,Herath’s record 400th wicket sends Pakistan to dramatic defeat,0.010726608,
1705,Banks’ growing romance with car industry,0.010524941,
230,Pros and cons of a law aimed at evicting NAB from Sindh,0.010185614,
2195,Unity march in heart of 'independent' Catalonia draws thousands,0.010141586,
0,"Sahibzada Ali, Hania, Eibad win national tennis titles",0,
1,Anti-IS ‘sheikh sniper’ killed in battle for Iraq’s Hawija,0,
3,Trump’s scandal-hit health secretary resigns,0,
4,US probes North Korea's willingness to talk,0,
5,Jet carrying 88 overshoots runway on German island of Sylt,0,
6,"Xi says study capitalism, but Marxism remains top",0,
7,‘Hundreds benefitted from plots policy’,0,
8,Iran urges Europe to defy Trump on sanctions,0,
9,Iran puts economic squeeze on Iraqi Kurds,0,
11,"Losing Syria bastion, IS lashes out behind front lines",0,
14,"Imported snooker tables sold to meet PBSF expenses, foreign trips",0,
15,Air strikes kill 28 civilians in Syrian safe zone,0,
16,Baseball team departs for Asian Championships,0,
18,National T20 participation mandatory for contracted players,0,
20,PPP accuses PTI of creating division in opposition ranks,0,
21,"Petrol, diesel prices up by Rs2",0,
22,Army chief heads to Kabul today,0,
23,Spy agency discredits own official,0,
24,Exclusive: The CPEC plan for Pakistan’s digital future,0,
25,"Standoff between Spain’s central govt, separatists over independence vote",0,
26,Bangladesh avert follow-on in first SA Test,0,
27,SC restores NBP pensions to 70pc mark,0,
28,BISP earns $794m forex over performance,0,
29,New round of regulatory duties planned to curtail imports,0,
30,Index sheds 341 points in outgoing week,0,
31,AIG stripped of ‘too big to fail’ label,0,
32,Saudi Arabia back in recession,0,
33,Top coal miner to buy metal mines abroad,0,
34,China moves to boost lending to small firms,0,
36,"132,000 people in Pakistan living with HIV, survey finds",0,
37,This haleem recipe is almost too good to share,0,
39,"PCB to offer $10,000 per match in Pakistan to foreign PSL players",0,
41,Xi touts Trump 'friendship' in talks with Tillerson,0,
42,Chikungunya thrives in Karachi's five towns,0,
43,"UAE begins collecting 'sin' taxes on tobacco, energy drinks",0,
45,Hong Kong democracy rally marks China national day,0,
46,Marilyn Manson injured mid-concert after stage prop topples on him,0,
47,Spanish PM says 'rule of law has prevailed' after 350 injured in Catalonia,0,
51,"COAS, Afghan president meet in Kabul, discuss regional security",0,
53,Disgraced American football star O.J. Simpson freed from jail on parole,0,
54,Saudi university to open driving school for women,0,
55,Two women killed in Marseille station knife attack,0,
57,Malala asked for packing tips for Oxford. How did Twitter respond?,0,
65,FOOTPRINTS: LAND OF WONDER,0,
66,Political uncertainty knocks off another 655 points from benchmark index,0,
69,"12 dead as DR Congo army plane crashes, say authorities",0,
70,"Hard hit by a drop in oil income, Gulf states say goodbye to tax-free reputation",0,
72,Japan business confidence hits decade high,0,
75,"5 injured, Somalian suspect arrested as Canada probes 'act of terrorism'",0,
78,Sonakshi Sinha joins the cast of Happy Bhaag Jayegi Returns,0,
79,Myanmar takes foreign diplomats into conflict-torn Rakhine,0,
80,Negotiating with N. Korea's 'Little Rocket Man' a waste of time: Trump,0,
81,"Pakistan throws support behind Iraq govt, opposes Kurdish referendum",0,
82,Calls for Spain PM to resign over dozens injured in Catalonia,0,
84,"1 dead, 5 injured in cross-border firing in AJK",0,
85,"1 dead, 2 injured in Swat blast",0,
88,Austria's ban on full-face covering comes into force,0,
91,The nuclear dimension,0,
92,TRAVEL: THE MAJESTY OF DEOSAI,0,
93,Why Punjab is outsourcing its public schools,0,
94,"Pakistani musicians get too caught up in what the audience want to hear, says Zoe Viccaji",0,
95,"58 dead, 515 injured in Las Vegas concert shooting",0,
97,First Test: Pakistan lose to Sri Lanka by 21 runs,0,
100,"Five civilians killed in Yemen air raid, says govt official",0,
101,At least 11 dead in Damascus bomb attack: monitor,0,
103,"In first, Saudi king set for Russia visit",0,
104,FIA registers case against Altaf Hussain for terror financing,0,
105,'Myanmar ready to take back Rohingya refugees',0,
107,LHC seeks reply from parties on Model Town report case,0,
109,Govt bulldozes controversial Election Bill 2017 through National Assembly,0,
110,Palestinian PM in Gaza for major reconciliation effort,0,
113,Saudi court acquits 13 accused in Makkah crane crash case: report,0,
114,Petition on accountability of judges and generals based on 'mala fide intent': SC objects,0,
116,Sustainable Development: How far has Pakistan come and how far do we have to go?,0,
117,Nawaz to be re-elected PML-N chief after party clears way for reinstatement,0,
118,Chinese ambassador calls on National Security Adviser in farewell meeting,0,
119,3 Americans win Nobel medicine prize for body rhythm work,0,
121,Cinemas expected to open in Saudi Arabia before end of 2017,0,
122,Chinese scientists make breakthrough in replacing WiFi with LiFi,0,
123,Iran foreign minister visits Qatar amid diplomatic standoff,0,
124,"Doubling down on new foreign policy direction, Asif terms Narendra Modi a 'terrorist'",0,
126,Aamir Khan says Secret Superstar will be a bigger film than Dangal,0,
130,"Muslim advocates, legal org file suits over travel ban",0,
131,"Are Trump, Tillerson 'good cop,' 'bad cop' to North Korea?",0,
136,Vice Admiral Zafar Mahmood Abbasi to be new Chief of the Naval Staff,0,
137,Saudi Arabia carries out 100th execution this year,0,
140,Allama Iqbal Open University announces free education for transgenders,0,
141,"Law minister rejects objections to Election Act 2017, calls it a unanimous decision",0,
142,"Cross-border attack in Khyber Agency claims life of security official, says ISPR",0,
144,"Trump labels Las Vegas shooter 'sick, demented'",0,
145,Petition challenging Election Act 2017 submitted in Supreme Court,0,
146,US-led strike kills 18 civilians in Syria's Raqa: monitor,0,
150,Bears dominate at PSX as benchmark index plunges 900 points,0,
151,Karachi University assistant professor goes missing,0,
152,Appointment of PIA CEO challenged,0,
153,"1 soldier, 3 suspected militants killed in Indian Kashmir base camp attack",0,
156,Cuba and Bolivia to remember ‘Che’ 50 years after death,0,
157,Biological clock discoveries by three Americans earn Nobel prize,0,
158,Ranks of world’s refugees swell as asylum space shrinks: UN,0,
159,Palestinian PM visits Gaza in reconciliation move with Hamas,0,
160,Timeline of worst mass shootings in recent US history,0,
161,Las Vegas gunman was looking forward to retirement,0,
164,"Barca, Real triumph on troubled day in Spain",0,
165,Clinical South Africa whip Bangladesh in first Test,0,
166,Herath magic makes dull and dreary Test go Sri Lanka way,0,
168,SC rejects Mushtaq Raisani's bail plea,0,
169,Imran Khan threatens ‘street movement’ over passage of election law,0,
170,"Abbasi, Shah discuss NAB chief’s appointment",0,
171,Obituary: Artist Tasadduq Sohail passes away,0,
172,Taj Mahal struck off tourism list by Uttar Pradesh govt,0,
173,PTI to challenge SC registrar’s decision of returning petitions,0,
174,Provinces oppose the way Centre divides gas firms,0,
175,"ADB raises growth forecasts for Pakistan, but with a caveat",0,
176,How ghost employees plague Balochistan’s government departments,0,
177,17 dead after protests in Cameroon English-speaking areas,0,
180,"PTI, MQM-P join hands to challenge electoral reforms law in SHC",0,
181,"Tomato, onion imports bring no relief to consumers",0,
188,At least 17 dead as suicide bombings hit Damascus police station,0,
190,PPP raises question over Rangers’ takeover of court security on Nawaz’s appearance,0,
193,A multitude of reasons for the fall in exports,0,
194,Senate body passes protection of whistleblowers’ bill,0,
196,Effective politicking is expensive business,0,
197,Oil falls more than 2pc on higher output,0,
199,Govt stopped from deporting Turkish family,0,
200,Model Town inquiry report: LHC seeks summary of lawyer’s posting as private counsel for govt,0,
201,How electric cars can create the biggest disruption since iPhone,0,
202,The rise and fall of vegetable prices in Pakistan,0,
203,A new challenge for banks: retirees,0,
204,Devaluation of rupee is not the answer if the root cause persists,0,
205,Rupee trades firm against euro,0,
207,Pakistani apparel makers need to get creative: IAF chief,0,
208,Development schemes get more money as elections loom closer,0,
209,Banks to facilitate tax payment via ATMs,0,
210,"New ‘walls’ now divide Germany, says president",0,
211,Kurdish leader and ex-Iraqi president Jalal Talabani dies,0,
213,Afghanistan pullout would be ‘to our ultimate peril’: Mattis,0,
214,US expels 15 Cuban diplomats following mysterious attacks,0,
215,Colosseum to open its top levels to public,0,
216,Keeping tensions at bay in Rohingya tent city,0,
217,Punjab Rangers chief told to explain court takeover: Ahsan Iqbal,0,
218,Govt tells court in plea against verdict Bench misled into getting Najafi report release order,0,
224,COAS Bajwa chairs ‘seven-hour’ huddle at General Headquarters,0,
225,Poll law shenanigans,0,
226,South African players oppose idea of 4-day Tests,0,
227,Abu Dhabi sells first 30-year bond,0,
228,"There can’t be two verdicts in identical cases, SC told",0,
229,Pentagon says Trump's Afghan troop boost to cost $1 billion,0,
231,"US will try to work with Pakistan ‘one more time’, says Mattis",0,
232,FM Asif meets Tillerson in Washington today,0,
233,Admiral Abbasi named navy chief; Zakaullah to retire on 7th,0,
234,"Three CMs, lawmakers fail to file statements of assets",0,
235,"PM, Shah discuss six names for NAB chief’s post",0,
236,US firm lobbied for and against Pakistan over F-16s,0,
237,Pakistan among top 10 economies in terms of its internet users,0,
238,"Discos, KE inflict Rs132bn hit on exchequer",0,
239,Cement sales set quarterly record of 10m tonnes,0,
240,Power Division asked to finalise 600MW plant deal with Russia,0,
241,ADB okays two debt financing projects worth $210m,0,
242,Urea makers demand revised export policy,0,
243,Nadal survives major scare at China Open,0,
245,Anushka Sharma launches her own clothing line,0,
249,"House divided over bringing judges, generals under ambit of new accountability law",0,
250,Turkey sentences 34 to life in jail over Erdogan murder plot,0,
251,"Sidharth, Sonakshi and Akshaye Khanna will star in this Bollywood remake",0,
253,"Las Vegas shooter's girlfriend back in US, FBI to question her",0,
255,TRAVEL: BEYOND THE EYES OF A PILGRIM,0,
256,National Party leader escapes attempt on life in Kech district,0,
257,"4 more women attacked by 'knifeman' in Karachi, say police",0,
258,"3 Indian soldiers killed, 5 injured in 'retaliatory firing' across LoC, ISPR claims",0,
259,Want to see if public office holders engage in corrupt practices: SC during Jahangir Tareen case,0,
260,What qualifies as anti-judiciary speech?,0,
261,Erdogan visits Iran as ties warm amid shared fears,0,
262,"'Trump was not criticising Tillerson, but pressuring Kim Jong-Un's regime'",0,
