,head,topic_rep,"0.63: Qandeel murder case, sexual harrasment, child abuse reports"
1997,Sport and harassment,0.632018626,
60,FICTION: TEA FOR TWO,0.63041091,
254,"US-based MQM leader financed targeted killing of party worker, Rangers claim",0.629719138,
611,Money Market: Bank borrowing falls by 1.22pc,0.62766856,
2353,"Netflix cancels Kevin Spacey's political drama, House of Cards",0.626701355,
292,Dar’s lawyer questions relevance of first prosecution witness,0.626511991,
914,'Nawaz likely to return to Pakistan today',0.625135005,
1888,Kulsoom Nawaz hospitalised again,0.623535991,
845,Mata Hari: femme fatale executed 100 years ago,0.614618182,
1226,PML-N MPA’s son manhandles THQ hospital medical superintendent,0.611844003,
1086,Two killed for honour,0.606186628,
191,The wretched of the earth,0.605546951,
2137,People tell me I was 'meant for a certain role': Maryam hints at prime ministership,0.602587461,
1604,Could Weinstein face trial? Experts assess mogul's legal woes,0.596322477,
1405,Pashto writers want to include folklore in school curriculum,0.595696032,
1088,Pre-arrest bail granted to three jail officials,0.58893919,
206,Bank borrowings fall by 1.20pc,0.587702811,
1619,‘Direct action’,0.586816847,
1245,Clinton claims WikiLeaks blunted impact of vulgar remarks by Trump on tape,0.586677432,
888,What you should know about the Harvey Weinstein scandal,0.584835589,
653,"Multinational brands should support classical musicians, says Khalid Ahmed",0.581169009,
533,"Data collected through geofencing, Punjab police approached to help arrest ‘knifeman’",0.580559015,
673,Movie mogul Weinstein fired over harassment claims,0.579166293,
2240,Reasons behind the increase in missing persons in Sindh,0.577450633,
1087,ATC summons MQM’s Rauf Siddiqui in Baldia factory fire case,0.575567842,
451,A simple guide to popularity,0.572610915,
1768,Journalist’s recovery brings Indian prisoner’s case into focus,0.560232639,
2270,Son of Sindh United Party leader found dead under mysterious circumstances in Tando Bago,0.560070753,
1022,‘Knifeman aide’ remanded in Karachi police custody for questioning,0.560044765,
623,Special Branch wants terror suspects placed on fourth schedule,0.557105839,
1674,Philippines' Duterte says he will shoot criminals,0.55294764,
1185,Safdar accuses JIT of humiliating him,0.548912942,
1165,Bank investments rise by 13.07pc,0.545116723,
143,Mansha Pasha's latest PSA encourages men to be better partners in parenting,0.544425905,
2287,Chris Gayle wins case against Australian masseuse,0.539898872,
1407,Maryam Nawaz: The heiress,0.5382303,
1775,Oxford University Islamic professor denies rape allegations by French author,0.532578707,
1259,Punjab police reluctant to shift suspected ‘knifeman’ to Sindh,0.529044151,
76,Women plead not guilty in N. Korean scion's assassination,0.525826991,
674,I will never forget the sound of a body being dropped into the pit when a man was hanged,0.514750659,
670,"Policemen booked for kidnapping citizen for ransom, court told",0.511710525,
1410,"Graft cases: Dar's lawyer fails to appear, court adjourns hearing till October 23",0.511666238,
642,Actress Komal's 'runaway' landlord granted bail by SHC,0.509361148,
148,Court rejects Gazeen Marri's request for production order ahead of Oct 5 hearing,0.507666945,
1206,The doctor brides of Pakistan: Fact or myth?,0.507371008,
1118,FICTION: SECRETS IN THE WOODS,0.506037056,
13,LEAs still clueless about 2009 Ashura blast suspects,0.504179478,
1345,"10 years on, no headway in Karsaz blasts investigation",0.500057638,
1099,COLUMN: WHO IS THIS FAZL-I-HAQQ?,0.498511821,
1701,Return of ‘missing’ journalist,0.497949541,
1305,"Maryam meets Hamza, Shahbaz Sharif at Model Town residence",0.496999294,
2006,"Masseuse tells court she cried after Chris Gayle 'exposed himself', cricketer denies allegations",0.49111253,
2131,Verna's latest track 'Khushi Ki Baat' shows a distraught Mahira Khan,0.490279108,
1741,Trump accusers seek popular backlash against him,0.488627046,
367,IHC refuses to transfer Dr Farooq’s murder case to sessions court,0.48726356,
353,"Hrithik Roshan breaks silence on Kangana Ranaut spat: ""I have never met the lady one on one in my life""",0.486531138,
1355,"Maryam meets Shahbaz, Hamza amid rumours of differences",0.483194858,
1234,Graft cases: Accountability hearing against Dar adjourned until Oct 18,0.482393712,
2007,Pakistani man wanted for 70 murders arrested in Hungary,0.480362505,
1962,Bailable arrest warrants issued for no-show Nawaz Sharif in two references,0.472405404,
632,Dove apologises for 'racist' body wash ad,0.471557975,
52,Physical abuse of 9-year-old girl by teacher causes outcry in AJK,0.468881696,
748,"Killers of Perween Rahman nabbed, Supreme Court told",0.466147572,
1838,"Suspect in Parveen Rehman murder case arrested, claim police",0.464316875,
879,The ostracism of Ahmadis through one family's story of death and despair,0.462705314,
1753,38 women accuse veteran Hollywood director James Toback of sexual harassment,0.458280683,
836,Untold stories from prison,0.456131041,
2000,Thailand turns black and gold for late King's grand funeral,0.455200821,
1033,Wonder Craft: Ice cream stick arrow bookmark,0.450857341,
2277,Pakistani medical codes weren't violated in sending friend request to Sharmeen's sister – and that's a problem,0.446786046,
498,"Just how much does Nawaz Sharif own, according to himself?",0.446641237,
413,Woman burnt 'for giving birth to daughter' in critical condition,0.446012706,
399,"Mr President, how can you hang a man who cannot even stand?",0.445824981,
2168,Why a professor wept at Lal Khuh inside Mochi Gate,0.445143491,
655,"'Not afraid of arrests': Maryam, Capt Safdar granted bail in NAB reference",0.444810539,
988,Misogyny & work,0.444464833,
1130,Prime suspect arrested in Karachi 'knife attacks': police,0.44406262,
2212,PML-N's exhilarating in-house duels,0.442376584,
1516,'Exit West' is a modern take on the refugee crisis,0.439900398,
1276,Balochistan tells SC it never promised Quetta blast victims heirs govt jobs,0.438743144,
1485,"Nawaz, Maryam and Capt Safdar indicted in NAB references; plead 'not guilty'",0.431468487,
1809,New York attorney general launches probe of The Weinstein Co,0.431078345,
1402,Not just Hollywood,0.4310036,
999,"Nawaz, Maryam, Safdar's indictment postponed to Oct 19 after lawyers attempt to gatecrash court",0.427792907,
2202,Aziz Ansari honoured with Charlie Chaplin Britannia Award for Excellence in Comedy,0.426724851,
449,Man arrested for distributing Hizbut Tahrir literature,0.425031006,
222,3 terrorists convicted by military courts executed in KP: ISPR,0.420316279,
1203,Police claim arrest of Karachi ‘knifeman’ in Mandi Bahauddin,0.420066267,
1699,Turf war,0.418510675,
1800,Who conquered the red carpet at the Hum Style Awards 2017?,0.413710654,
1571,50 detained in knife attacks probe,0.412684709,
806,"India's top court rules sex with a minor wife is rape, closing a legal loophole",0.411239773,
83,"Nawaz to face indictment on Oct 9; court issues arrest warrants for sons, son-in-law",0.409940571,
1464,Female Pakistani journalists share stories of harassment at the workplace,0.408931255,
1489,Trump accused of disrespecting family of slain US soldier,0.408468515,
89,How the story of Niazi Qawwals turned from song to struggle,0.40519315,
2030,American woman taken into custody in Islamabad,0.398518562,
539,"'This isn't about accountability, it's about revenge,' Maryam on NAB references",0.396399289,
709,"Kulsoom Nawaz to undergo first chemotherapy session, says Maryam",0.395457625,
19,SHO among 17 policemen booked for killing two,0.395426482,
972,Nawaz moves SC against 'illegal' filing of multiple NAB references,0.392972827,
1574,Judge shocked to see handcuffed 5th grader,0.390168637,
1267,Punjab govt dismisses advocate who slapped police official outside court,0.387335539,
219,I hope Baaghi teaches people to empathise with women and their struggles: Osman Khalid Butt,0.386153579,
499,Wonder Woman,0.384940088,
521,Maryam’s return from UK likely for hearing on 9th,0.38371554,
2164,"Charge sheets filed against Farooq Sattar, Amir Khan, other leaders in sedition cases",0.382396966,
2350,Federal ministry begins probe of alleged harassment of Islamabad Club employee,0.378898323,
979,Harvey Weinstein allegedly preyed on Aishwarya Rai too: reports,0.378405303,
974,Gunned down Swabi journalist was involved in property dispute: police,0.376691759,
98,Low-caste man killed in India for watching dance performance,0.373261809,
1263,Third prosecution witness testifies against Dar,0.370933622,
1465,"Sexual abuse isn't about sex, it's about power: Priyanka reacts to Weinstein scandal",0.369656295,
445,French woman jailed for 10 years for spurring on jihadist son,0.368968248,
387,Four more testify in Mashal case,0.368417174,
896,IHC turns down Capt Safdar's bid to delay indictment in corruption reference,0.365356505,
739,"Ronaldo, Messi on Ballon d’Or shortlist",0.362307698,
2128,Justin Timberlake at the Super Bowl: White male privilege again?,0.355041683,
346,Nawaz Sharif departs for London to see ailing wife,0.354065984,
1536,White House chief cites son's loss in emotive Trump defence,0.35345605,
1564,Will Bollywood's Diwali looks inspire your winter wedding style?,0.353204787,
1820,Bail pleas of accused in Mashal Khan lynching case rejected,0.352428764,
1134,FICTION: A HANDMAID’S TALE,0.352130234,
1425,Swiss govt opposes paternity leave,0.348900855,
1910,Pastor in India arrested for raping followers on pretext of exorcism,0.348397672,
285,Hamza Shahbaz returns from short ‘exile’,0.348291457,
1804,Court to deal with gender-based violence cases opens in Lahore,0.346552342,
901,Authors tackle gender themes at world's largest book fair,0.34356463,
1476,Suspected robber killed in Landhi ‘encounter’,0.342241228,
291,Woman kills son to ‘exorcise evil’,0.342066526,
1801,Redeeming Qandeel’s pledge,0.341849864,
491,Leap!,0.339429617,
351,KP rights activist wins Anna Politkovskaya Award,0.338673115,
1676,Saudis crave revival of cinema: 'It makes people see a reflection of their own lives',0.338339508,
1069,Sense returns to Pak-US relations,0.335831285,
599,Capt Safdar held by NAB on return from London,0.335630894,
1186,CJP hints at promoting ‘non-traditional ways’ for speedy justice,0.334767014,
1040,Journalist’s killing: Taliban claim contrary to FIR contents,0.332564205,
155,Police still clueless about ‘knifeman’ behind attacks,0.331117839,
1733,Violation of air safety rule: CAA yet to take action against PIA pilot,0.330451131,
484,"Car strikes pedestrians outside museum in London, injuring some",0.326705039,
1266,Stokes’ tour in jeopardy as police call up key witnesses,0.326664001,
1312,Transgender activist Kami Sid is gearing up for her drama debut with Dil-e-Nadan,0.32571131,
949,Dar’s counsel finds ‘tampered record’ during trial,0.322744459,
67,"Lahore celebrates Banned Books Week with readings of Rais Amrohvi, Ahmed Faraz and J K Rowling",0.321903825,
1615,Story Time: Honesty always pays,0.320632309,
1408,"Recovered American hostage Caitlan Coleman rushed to hospital, says husband",0.319844127,
265,Dar accountability case: Prosecution presents first witness in court,0.318404615,
1677,More than 1.1 billion people worldwide don't exist officially,0.315771431,
701,Google finds evidence of Russian operatives seeking to interfere in 2016 US election,0.313862801,
1138,‘Rowdy’ lawyers booked,0.311463803,
1548,Police detain 50 in connection with Karachi knife attacks,0.311338603,
722,New Zealand police sorry for 'insensitive' road death tweet,0.304986656,
662,Couple in Nepal's 'first transgender marriage' finds acceptance,0.300454974,
1645,FICTION: MADE OF SMOKELESS FIRE,0.299155593,
1708,Mosque caretaker held over blasphemy charges,0.298753947,
74,"When nothing could stop Karachi's trans community: not Chanda's murder, Muskan's rape, nor Payal's kidnapping",0.290930361,
1501,Lyari ringleader Chhotu killed in Malir ‘encounter’ with Rangers,0.28800416,
1477,Court may indict Sharif family today,0.286182642,
682,Policeman on bail in Benazir case given assignment,0.286168993,
2341,The boy and the country,0.28382796,
1467,Former women's hockey team goalkeeper says was assaulted by head coach,0.280348301,
17,"Sharif’s children, son-in-law to skip hearing",0.278640777,
154,Schoolteacher suspended after nine-year-old student’s eyes damaged,0.278094113,
1211,Pakistani director Roomi Insha passes away,0.27465266,
528,Journalists up in arms after TV channel booked,0.27153194,
415,"Important information uncovered in relation to Karachi knife attacks, says CM Sindh",0.269671381,
1291,The Kim analogy for Modi,0.268165141,
429,Another woman stabbed in Karachi despite police claim of ‘important arrest’ in knife attacks,0.266168296,
1251,US Army sergeant Bergdahl pleads guilty to desertion,0.263551444,
812,Wanted: violent Muslim women,0.261301309,
1507,Two sides to a family,0.259529799,
1153,Much ado,0.258849174,
446,"Europe, Turkey and the  importance of reputations",0.258820802,
488,Experience: Community service is not a piece of cake!,0.258353859,
2099,Social media and you,0.256719708,
1204,IHC seeks reports in ‘dead’ Drap officer’s case,0.255359709,
1638,DECODING DA VINCI’S ODD GENIUS,0.254106522,
1436,Profile of a radicalised young man from Karachi,0.253929675,
99,2 policemen suspended for using abusive language against citizen in Karachi,0.252000272,
244,Upcoming play 'Mushk' will be remembered for a long time: Sania Saeed,0.251221538,
1379,'Politically motivated persons' to be barred from NAB courts while cases against Sharifs are heard,0.250754803,
1120,AWARDS: THE ‘ISH’ FACTOR,0.249758795,
2017,Focus on death penalty,0.246891513,
750,"‘One dictator got ZAB executed, other plotted Benazir’s assassination’",0.244972333,
163,Moeen braced for bouncer war Down Under,0.244871408,
1738,Letter penned a day before Titanic sank sold at UK auction,0.242665842,
139,Notices issued on Gazain’s detention,0.24014543,
64,NON-FICTION: WOMEN AT WAR,0.238816276,
185,Rocker Tom Petty dead after cardiac arrest,0.238526687,
1905,'What good would a son do to me that a daughter won’t?',0.236942574,
1478,Only 60 people to witness Sharif hearing,0.236619875,
1269,Police say wearing new uniform is a ‘miserable’ experience,0.235646605,
1751,"Will honour any role, responsibility 'given by party', says Maryam",0.235322669,
1214,Quetta court asks drug authority to cancel medicine firm's licence for selling counterfeits,0.235262096,
62,NARRATIVE ARC: MUDDLING THE LINES,0.233955055,
1589,"Politicians playing at democracy, says Asma",0.232941613,
1512,Bush slams Trump-era ‘bigotry’,0.232797652,
1539,'Missing' journalist Zeenat Shahzadi recovered after more than 2 years,0.231863707,
448,Gullu Butt goes looking for a cause and a life,0.230703488,
1075,What do the women in our ads usually do?,0.229150638,
1508,In the interest of justice,0.228205249,
247,'NA-120 victory a golden page in history': Nawaz thanks supporters,0.228010863,
1746,Rawalpindi enjoys kheer in every season,0.227332965,
1136,'Hell on Earth': California fire toll rises to 38,0.226469949,
2183,NON-FICTION: LIVING LARGE AND DEALING WITH IT,0.225322768,
1919,"Robbers gang headed by MQM worker busted in Karachi, Rangers claim",0.22469075,
2200,Ministry orders probe into Islamabad Club sexual harassment controversy,0.224596038,
1182,'I am not a lota',0.224438205,
432,Some 50 witnesses for Cardinal Pell sex abuse hearing,0.220744222,
752,"Posting of BB murder accused a conspiracy, says PPP leader",0.220496789,
178,Police arrest six suspects to investigate Karachi knife attacks,0.218580157,
1014,‘Poorly-handled’ vaccine blamed for three minor girls’ death,0.217594013,
984,"Islamabad drama staged to protect Sharifs from accountability, says Imran",0.216326118,
1475,Sharjeel Memon’s bail plea hearing put off,0.215797037,
638,IoBM fires security official for 'misbehaviour' with faculty member over 'inappropriate attire',0.215380013,
704,"Ivana vs Melania: First wife is 'self-serving', says US First Lady in White House statement",0.215179622,
994,Weekend Grub: The Bikers Cafe will be a surprise hit with beef lovers in Karachi,0.214478225,
885,Gaza Instagram stars want world to get the picture,0.212840244,
947,Sharif set to skip court proceedings today,0.212824509,
1915,Cancer patient who rallied Twitter to meet Shah Rukh Khan as last wish dies,0.212613598,
1502,"Nawaz Sharif indicted in Flagship Investments reference, pleads not guilty",0.210665599,
567,SMOKERS’ CORNER: THE ORDER OF WORDS,0.210264966,
824,Muslims flee Indian village after singer killed by Hindu priest,0.208927125,
86,Canadian Sikh politician is new leader of federal New Democrat Party,0.208550498,
680,Sex attacks leave Rohingya children fearful in Bangladesh’s camps,0.20851545,
1018,UK Islamic school guilty of ‘gender discrimination’,0.208297983,
1637,"Three ‘TTP militants’ held, mines seized",0.206868276,
1042,Caitlan Coleman’s parents angry at son-in-law,0.206551507,
2013,Rama X: Thailand's new monarch making his mark,0.20519349,
252,'Missing' Karachi University professor returns home,0.204321072,
1303,Shoaib Mansoor's trailer for Verna is out now!,0.203483284,
562,COLUMN: HOME IS WHERE THE HEART IS,0.202993155,
1940,"'In touch with Aamir Liaquat, other opinion makers,' says Imran",0.202694088,
2071,"Boy, held in chains, recovered from seminary in Sindh",0.202233955,
68,Oxford college removes Suu Kyi’s portrait,0.202084929,
706,Islamabad High Court to hear bail plea of US terror suspect on Friday,0.201707348,
365,Sultan of bling: Brunei monarch marks golden jubilee in style,0.200832263,
111,India announces Rs0.1m reward for anyone who reunites Geeta with her parents,0.198731795,
1533,Former PM to return for next court hearing,0.198648542,
849,Senate body rejects amendment to child marriage act as ‘un-Islamic’,0.197197482,
1600,Sharmeen Obaid's first immersive installation hopes to transport you back to 1947 Partition era,0.196576163,
1557,Woman gives birth on Lahore hospital's stairs after being denied entry,0.196454406,
1902,Nawaz Sharif’s options,0.195481971,
1864,Afghans doctored photo to project positive image of Kabul’s security,0.194962621,
1133,"Taliban reject rape, murder claims of freed Canadian hostage",0.194753274,
1152,SMOKERS’ CORNER: IS HISTORY REPEATING ITSELF?,0.193471044,
1992,Sindh minister takes notice of students' alleged harassment at Jamshoro University,0.193404436,
2282,Film on slain social activist Perween Rahman bags award in Turkey,0.189564735,
1320,Sonam Kapoor wants gossip sites to stop pitting women against each other,0.188465983,
325,17-year-old Pakistani student's visual presentation of 'electric honeycomb' garners international praise,0.1880797,
1655,"Mutilated bodies of two police constables found in Buner district, say police",0.187420845,
1372,Lahore High Court restrains govt from deporting Turkish teachers,0.186461329,
907,Of being a woman and smoking in Pakistan,0.18633081,
473,Website: PDF made easy,0.186274916,
1832,Former hockey team goalkeeper to pursue harassment case alone after PHF shuts its doors,0.185971245,
1277,Obituary: Ex-chief justice Ajmal Mian dies at 83,0.185808778,
1155,Mata Hari’s hometown opens ‘the Myth and the Maiden’ exhibition on her life,0.18568337,
1480,Private witness changes statement in Mashal case,0.18535611,
854,Gazain denies he returned under a deal,0.184644565,
332,"28-year-old woman becomes victim of elusive 'knifeman' in Karachi, say police",0.184629872,
1721,Roadside births ‘a call to political parties’: Tehmina Durrani,0.18243213,
127,"Analysts, opponents weigh in on Nawaz's re-election to PML-N presidency",0.181908399,
1373,Medics resist monitoring through CCTV cameras,0.181146055,
44,Ashura processions culminate peacefully across country,0.180624858,
847,NAB notices pasted at Sharif’s Lahore residences,0.179297,
138,Disney and Universal team up for M. Night Shyamalan's next film 'Glass',0.179066971,
1100,Why religion is here to stay and science won’t destroy it,0.178591028,
1522,Rare LoC officialdom compassion after woman’s death in AJK,0.178349227,
1639,Sharifs twice planned my murder: Zardari,0.176496416,
565,NARRATIVE ARC: SIR SYED IN THE DOCK,0.176202267,
1998,Supreme Court asks for detailed report on missing persons,0.175961256,
1351,Senate body tells police to nab elusive Karachi ‘knifeman’ soon,0.175920278,
801,Asma Jahangir calls on Nawaz to take notice of Safdar's 'unacceptable' attack on Ahmadis,0.173424006,
1184,"‘Missing’ Turkish teacher, wife deported",0.169301957,
1685,8 Ansarul Sharia Pakistan militants killed in 'encounter' in Karachi,0.169301748,
683,Shaheer Niazi — teenager who put Pakistan on science map,0.169254631,
1575,Top habits of top students,0.168930069,
917,Tragic to see hate speech against minorities in NA: Ahsan Iqbal on Capt Safdar's tirade,0.168526247,
2159,POETRY: SEASONS OF SORROW,0.168279111,
120,Senator Babar draws interior minister's attention towards disappearance of Turkish family,0.167724282,
1934,Upcoming play Hua Kuch Yoon promises to be a symbolic love story,0.167180464,
1308,LHC takes up contempt of court petition against govt for deporting Turkish couple,0.166611567,
1093,ESSAY: THE MAN WHO BECAME A MOVEMENT,0.166071236,
1472,"Sindh govt to keep custody of Ayesha Bawani college until 2019, SC rules",0.165888786,
125,IHC dismisses Dar's petition challenging indictment in assets reference,0.16580081,
1726,Shahid Khaqan Abbasi becomes Pakistan's first PM to fly military helicopter,0.164516404,
1337,"Minibus driver, conductor beat passenger to death in Karachi",0.163060933,
1002,Whither feminism?,0.162809536,
1237,Lok Virsa reopens Bali Jatti Rooftop Theatre with a musical tribute to Reshma,0.162523597,
248,How I travelled to 20 countries in four years on a Pakistani passport,0.16234979,
1258,Afghan man convicted of bombing NY neighbourhood,0.16117993,
1091,Court seizes Musharraf’s Rs1m surety bonds,0.160747856,
1231,ISKP: another emerging giant?,0.160435498,
1850,Court dismisses Dar's second petition challenging indictment in corruption case,0.159716398,
1629,4 people injured in Munich knife attack,0.158866987,
719,"Depression should not be considered a character flaw, says Deepika Padukone",0.158313945,
1784,Sharjeel Memon arrested by NAB after hours-long cat and mouse game,0.158175766,
182,Brother of man who attacked French Jews goes on trial,0.156772181,
71,SMOKERS’ CORNER: RELIGIOUS RIGHT RISING?,0.156141177,
1728,When lawyers turn into hooligans,0.156138018,
1262,"18 poachers torture wildlife officials, hold DO hostage",0.15592508,
676,A new film festival for Karachiites is in the works,0.154401332,
356,Key suspect among 16 arrested in Karachi 'knife attacks': police,0.152671382,
1683,NON-FICTION: PROVOCATIVE POSITIONS,0.152030542,
1981,"Verna is about the games people play for power, says Haroon Shahid",0.150405169,
671,Karachi’s serial ‘knifeman’ unleashes collective fear,0.148989677,
183,"Accountability court episode: Nisar too faced such situations but dared not protest, says Sana",0.148374021,
2001,"Data firm working for Trump's campaign approached Wikileaks 'for information', confirms Assange",0.148344249,
1859,"Caitlan Coleman breaks silence on captivity, says 'was in Pakistan for more than a year'",0.146353096,
1610,Nawaz Sharif demands recovery of social media activists,0.145400375,
1208,In pictures: Somalia's 'deadliest attack ever',0.145352542,
287,Independence or bust: Catalan leader boxed in by his own angry base,0.14531672,
1065,Book review: Guinness World Records 2018,0.14404802,
1540,"A cancer patient wants to meet Shah Rukh Khan, Twitter users try to help her dream come true",0.143632933,
112,Dar challenges accountability court indictment in Islamabad High Court,0.14352712,
995,The political culture of legal defiance,0.14291352,
1614,Judge throws out $417m award against Johnson & Johnson,0.141866729,
1675,"Mystery 'braid-chopping' cases in Kashmir: real, fake or hysteria?",0.140883014,
1307,Special Report: Darkness Descends 1977-1988,0.13793917,
56,Pakistan boxer Waseem maintains ranking in Panama fight,0.13750875,
651,Dengue scare at Khyber Teaching Hospital as death toll reaches 50,0.137417763,
1433,QCCI for legal trade promotion,0.137185812,
1397,Women and Haj,0.137040481,
220,Behind Saudi Arabia,0.136764795,
2360,Ex-Trump aides charged as Russia probe accelerates,0.136400089,
582,"Scottish independence case helped by Brexit chaos, says Sturgeon",0.135553345,
