UserName,FullName,Date,First Hashtags,Alt Hashtags,Tweet (Message Text),Retweets,Retweets (w/ Text),Likes,Likes (w/ Text),URL Path
@FarihaMunirShah @FarihaMunirShah @FarihaMunirShah @FarihaMunirShah @FarihaMunirShah,Fariha Munir‏ @FarihaMunirShah,7h7 hours ago,,,On this Labor day plz dont forget to honor our Former PM and Foreign Minister who were working as Skilled Labor in UAE,2 6 6 14 14,"Retweet
    
      
    6
  
  
    
      
      Retweeted
    
      
    6",,"Like
    
      
    14
  
  
    
      
      
      Liked
    
      
    14",/FarihaMunirShah/status/991325848669179904
@aloovibes @aloovibes @aloovibes @aloovibes @aloovibes @aeeshasheikh_,shy fawkes‏ @aloovibes a. @aeeshasheikh_,9h9 hours ago,,,"im a woman and my parents are divorced but that’s totally fine, and my aunts husband uses her dupatta to clean his mouth even though shes devoted her life to him, and i’ve seen women give all of their being to a mans ego all my life, i KNOW you should lower yourself for no man https://twitter.com/aeeshasheikh_/status/990698325543354370 … I am a woman so I can only speak for women. Forget yourself, lower yourself, kill your ego, and make it the maqsad of your life to keep your husband happy... leave its reward with Allah ji. Trust me your sacrifices will pay off. Your marriage will last (unless hubs a psycho)!",4 16 16 62 62,"Retweet
    
      
    16
  
  
    
      
      Retweeted
    
      
    16",,"Like
    
      
    62
  
  
    
      
      
      Liked
    
      
    62",/aloovibes/status/991299378810900480
@MianJavedIqba13 @MianJavedIqba13 @MianJavedIqba13 @MianJavedIqba13 @MianJavedIqba13 @vicky_zarazua @WilsonAftab,Mian Javed Iqbal‏ @MianJavedIqba13,10h10 hours ago,,,nice women,1 2 2 5 5,"Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",,"Like
    
      
    5
  
  
    
      
      
      Liked
    
      
    5",/MianJavedIqba13/status/991283770388082693
@JahanVirk @JahanVirk @JahanVirk @JahanVirk @JahanVirk,Jahan Zaib Virk‏ @JahanVirk,10h10 hours ago,"#عورت_کو_عزت_دو,PMLN",#PMLN,"#عورت_کو_عزت_دو
Abid Sher Ali and Rana Sana Ullah's disgusting and misogynistic comments towards PTI women supporters and Sherren Mazarai and  silence of #PMLN top leadership including @MaryamNSharif is an embarrassment for average Pakistani with average IQ. pic.twitter.com/WFMyENXd1b",12 12 5 5,"Retweet
    
      
    12
  
  
    
      
      Retweeted
    
      
    12",,"Like
    
      
    5
  
  
    
      
      
      Liked
    
      
    5",/JahanVirk/status/991282026807427073
@RiazToori @RiazToori @RiazToori @RiazToori @RiazToori @ImranKhanPTI,Riaz Ali Turi‏Verified account @RiazToori,11h11 hours ago,"#BenazirBhutto,PPP",#PPP,"Strongly condemn Rana Sanaullah abusive tongue ag @PTIofficial women pol workers; same words he had used for @MaryamNSharif for which SM #BenazirBhutto had thrown him out of #PPP, Now it is a test for Maryam Nawaz Sharrif as what action she takes against Rana Sanaullah.",12 21 21 95 95,"Retweet
    
      
    21
  
  
    
      
      Retweeted
    
      
    21",,"Like
    
      
    95
  
  
    
      
      
      Liked
    
      
    95",/RiazToori/status/991274162680459264
@Usmani81 @Usmani81 @Usmani81 @Usmani81 @Usmani81,Umair Usmani‏ @Usmani81,14h14 hours ago,"#RanaSanaUllah,LUMS",#LUMS,You don’t even need to belong to any particular party to condemn what #RanaSanaUllah & @AbidSherAli said about women..What really shocking is that educated ladies like @hinaparvezbutt @ShazaFK don’t even have the guts to discourage this filth & abuse. #LUMS alumni?? @XIApk1983,2 2 1 1,"Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/Usmani81/status/991230481420218370
@710Saif @710Saif @710Saif @710Saif @710Saif,Mohammad saif ud din‏ @710Saif,15h15 hours ago,#LabourDay,,"#LabourDay
Pakistan labor is working on lowest wages in the world.Still,they are deprived of labor rights...Child labor is also a big trauma of our society.Why our labor is still poor !More questions still to be answered",2 2 1 1,"Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/710Saif/status/991206269372510210
@drseemin @drseemin @drseemin @drseemin @drseemin,dr seemin bokhari‏ @drseemin,17h17 hours ago,,,"Strongly condemn misogynistic remarks by Sanaullah n co,women are an integral part of our society n need to be respected n given rights of expression irrespective of their class or political affiliation!!",3 3 9 9,"Retweet
    
      
    3
  
  
    
      
      Retweeted
    
      
    3",,"Like
    
      
    9
  
  
    
      
      
      Liked
    
      
    9",/drseemin/status/991179899468738561
@asmahbarjees @asmahbarjees @asmahbarjees @asmahbarjees @asmahbarjees,Asma Barjees‏ @asmahbarjees,20h20 hours ago,#PTIForWomenEmpowerment,,"The level of badtameezi and abusive/foul language PTI people use for women, this hashtag is a real disgrace to create even. You speak against their lordship they will drag you down to their level. You disrespect @MaryamNSharif & talk about women respect?  #PTIForWomenEmpowerment",3 9 9 37 37,"Retweet
    
      
    9
  
  
    
      
      Retweeted
    
      
    9",,"Like
    
      
    37
  
  
    
      
      
      Liked
    
      
    37",/asmahbarjees/status/991128082894475265
@Sur_Inquilabi @Sur_Inquilabi @Sur_Inquilabi @Sur_Inquilabi @Sur_Inquilabi,Minhaj Swati‏ @Sur_Inquilabi,Apr 30,"#sexualharrasment,songsoffreedom2018",#songsoffreedom2018,We aim to end #sexualharrasment across campuses. We demand an immediate end to oppression on women in our society #songsoffreedom2018,4 4 3 3,"Retweet
    
      
    4
  
  
    
      
      Retweeted
    
      
    4",,"Like
    
      
    3
  
  
    
      
      
      Liked
    
      
    3",/Sur_Inquilabi/status/991006522590277632
