UserName,FullName,Date,Hashtags,Tweet,Likes,RTs
,,Feb 1,"Ayesha,JusticeForAyesha,Ayesha,MilitaryTrialForZainabCase,Zainab,JusticeForZainab,ZainabKoInsaafDo,Kasur,ZainabMurderCase,Justice4Zainab,ZainabZindaHai,ChildAbusepic.twitter.com/McvSc6Ysnk","Ayesha Asif's dead body was found on 09.01.2017
Zainab's dead body was found on 09.01.2018 same day after 1year.
#JusticeForAyesha #Ayesha #MilitaryTrialForZainabCase #Zainab #JusticeForZainab #ZainabKoInsaafDo #Kasur #ZainabMurderCase #Justice4Zainab #ZainabZindaHai #ChildAbusepic.twitter.com/McvSc6Ysnk",,
,,Feb 1,"The,FakeNews,Pakistan,ZainabMurder,JusticeForZainab","The biggest #FakeNews being pushed and promoted in #Pakistan today is that there's no organized child pornography business in Kasur/Punjab. There is. And those involved will likely be spared thanks to how the story was used for point scoring. 
#ZainabMurder
#JusticeForZainab",,
,,Feb 6,"IT'LL,JusticeForZainab",IT'LL HAPPEN AGAIN IF BRUSHED UNDER THE CARPET #JusticeForZainab,,
,,Feb 1,"Injustice,NehalHashmi,ShahrukhJatoi,JusticeForNaqib,JusticeForZainab","Injustice anywhere is a threat to justice everywhere. (Martin Luther King Jr.)
#NehalHashmi
#ShahrukhJatoi 
#JusticeForNaqib 
#JusticeForZainab pic.twitter.com/qaPR8EBcb7",,
,,Jan 27,"If,JusticeForZainab,","If believe in #JusticeForZainab, then you must call for justice for Little Imran who was raped 50 times as a young boy and had to live amongst his abusers. Certainly NOT the death penalty but maybe an asylum where he can be treated and kept away from doing further harm. https://twitter.com/seriousnahihona/status/957275196058042368 …",,
,,Jan 26,"The,JusticeForZainab",The case against public hanging #JusticeForZainab  https://www.thenews.com.pk/print/273393-the-spectacle-of-the-scaffold …,,
,,Jan 29,"He,JusticeforZainab",He was busy on phone and stranger picked his child by offering candies. Its happening every where and awareness activities are being conducted in Europe and other countries to make Parents realize. Keep an eye on your kids #JusticeforZainab pic.twitter.com/7OsOM9cmLB,,
,,Feb 3,"UTurns,KashmirFreedomFighters,JusticeForZainab,PTIkarachiRabta,PMLN,MaryamNawaz,NawazSharif,ImranKhanpic.twitter.com/73OWHsqDQ8","UTurns 
 #KashmirFreedomFighters #JusticeForZainab #PTIkarachiRabta #PMLN #MaryamNawaz #NawazSharif #ImranKhanpic.twitter.com/73OWHsqDQ8",,
,,Feb 8,"#JusticeForZainab,JusticeForNation",#JusticeForZainab Imran should be hanged asap otherwise nation will forgotten again and no one will stand for these incidents again. #JusticeForNation,,
,,Jan 28,"All,imranali,JusticeforZainab,seriously?is","All talk shows discussing @Shahidmasooddr instead of #imranali #JusticeforZainab,seriously?is this what  constructive journalism is about?",,
,,Jan 31,"#JusticeForZainab,PublicExecution","#JusticeForZainab
we demand a #PublicExecution for all culprits involved in child rape and murderer to set an example in society
If U Agree Then Fav & Rt",,
,,Feb 9,"The,Zainab.,Zaiban,JusticeForZainab",The media forgot #Zainab. Everyone just moved on. No cares more. Why should people? If it is not ur real sis? Then u shouldn't!  Shame on muslims nowdays. They only care about their own pain! #Zaiban died! A animal just raped and killed her! This world is a lie #JusticeForZainab,,
,,Feb 5,"So,JusticeForZainab",So they politicized Asma's case to diffuse the pressure of #JusticeForZainab Lanat hai in sub jhout bolne wallon py. https://twitter.com/geonews_urdu/status/960426097518276608 …,,
,,Feb 13,"The,climatechange,oil,fossilfuels,means,justiceforzainab,justiceforall,justice,pakistan,society,takenotice,saynotoinjustice,noshame,womensrights,end,sexual,nomore,speakyourtruth,humanrights,childrens,rights,rtpic.twitter.com/dZQFPoP9sc","The TRUTH WILL BLOW YOU AWAY!
http://amazon.com/s/ref=nb_sb_noss_1?url=search-alias%3Daps&field-keywords=john+maszka …
#climatechange #oil #fossilfuels #means #justiceforzainab #justiceforall #justice #pakistan #society #takenotice #saynotoinjustice #noshame #womensrights #end #sexual #nomore #speakyourtruth #humanrights #childrens #rights #rtpic.twitter.com/dZQFPoP9sc",,
,,Feb 13,"The,ZainabMurderCase,JusticeForZainab,JusticeForAllChildrenpic.twitter.com/0TXVkJd2C0","The accused of #ZainabMurderCase Imran is a serial rapist and killer, he admitted in court. He should be hanged publicly.. no mercy at all!! He is a scum to society!! 
#JusticeForZainab #JusticeForAllChildrenpic.twitter.com/0TXVkJd2C0",,
,,Feb 13,"The,climatechange,oil,fossilfuels,means,justiceforzainab,justiceforall,justice,pakistan,society,takenotice,saynotoinjustice,noshame,womensrights,end,sexual,nomore,speakyourtruth,humanrights,childrens,rights,rtpic.twitter.com/HUS7FvqBh0","The TRUTH WILL BLOW YOU AWAY!
http://nebraskapress.unl.edu/potomac-books/9781640120242/ …
#climatechange #oil #fossilfuels #means #justiceforzainab #justiceforall #justice #pakistan #society #takenotice #saynotoinjustice #noshame #womensrights #end #sexual #nomore #speakyourtruth #humanrights #childrens #rights #rtpic.twitter.com/HUS7FvqBh0",,
,,Feb 12,"""You,JusticeforZainab.","""You are failing when our daughters and sisters cannot safely walk outside. You are failing when young, innocent bodies are found in dumps, ruthlessly murdered. Do something."" Over 97,000 people have signed to demand #JusticeforZainab. https://www.change.org/p/parliament-of-pakistan-justice-for-zainab …",,
,,Feb 10,"Zainab’s,JusticeForZainab","Zainab’s murder: how will the prosecution build its case?
Was Imran a solo operator?  Was he part of a chain? #JusticeForZainab 
https://www.dawn.com/news/1386000/zainabs-murder-how-will-the-prosecution-build-its-case …",,
,,Feb 9,"Zainab's,Zainab's,JusticeForZainab",Zainab's father gets memorial membership of @MinhajulQuran on #Zainab's Chelum #JusticeForZainab pic.twitter.com/GQnCx7L65U,,
