UserName,FullName,Date,Hashtags,Tweet,Likes,RTs
,,Jan 11,"PROPHET,JusticeForZainab","PROPHET MUHAMMAD (S.A.W)
SAID ..
Children are Flowers of Paradise.....
#JusticeForZainab pic.twitter.com/TzA7sWDWvX",,
,,Jan 11,"#JummaMubarak,JusticeForZainab,JusticeForAllChildren","#JummaMubarak Do rememer all Muslims in your prayers.
Do Remember Zainab and all other victims in your Dua and pray for justice.
#JusticeForZainab #JusticeForAllChildren 
@BakhtawarBZ @BBhuttoZardari @AseefaBZpic.twitter.com/IFbEyF7dgn",,
,,Jan 11,"Jumma,JusticeForZainab","Jumma Mubarak  I pray that one day the human atrocities can finally come to an end, one day we can achieve peace, more love, no hate! Please say a special prayer for Little Zainab & her Family..  #JusticeForZainab",,
,,Jan 11,"Awareness,SexualAbuse,,ChildAbuse,JusticeForZainab,DunyaNews,DunyaVideospic.twitter.com/KnraejbWrf","Awareness is the key and we need to educate our children about #SexualAbuse, says @TheMahiraKhan 
#ChildAbuse #JusticeForZainab #DunyaNews #DunyaVideospic.twitter.com/KnraejbWrf",,
,,Jan 11,"Rana,JusticeForZainab","Rana Sanaullah strtd to use lowclass language when he had no answer to the Q's of Host @ShahzadIqbaal that Who ordrd the police to open fire? 
I wd suggest the people to donate some money so that we can get Rana SanaUllah educated then he may know how to behave #JusticeForZainab pic.twitter.com/f3YS7nRTpA",,
,,Jan 11,"Hi,JusticeForZainab","Hi zainab,
We are regretful --- plz forgive us 
#JusticeForZainab pic.twitter.com/FwmJj8Rl6x",,
,,Jan 11,"Thanks,ZainabKoInsaafDo,JusticeForZainab","Thanks @sherryrehman for demanding year 2018 to b declared child emergency year @pid_gov @GovtOfPunjab @KPGovernment @SindhCMHouse @BBhuttoZardari @ImranKhanPTI plz leave everything aside & come forward. We need a national action plan on this
#ZainabKoInsaafDo
 #JusticeForZainab",,
,,Jan 11,"A,JusticeForZainab.","A 7-year-old girl was raped and murdered. Now, people want #JusticeForZainab. pic.twitter.com/ilh8OjRESf",,
,,Jan 11,"How,JusticeForZainab","How has he not been identified yet? His image is so clear!
#JusticeForZainab https://twitter.com/iihtishamm/status/951012056957902848 …",,
,,Jan 11,"Maalik,JusticeForZainab",Maalik has something to say.. #JusticeForZainab pic.twitter.com/GFQwllV2te,,
,,Jan 11,"Why,JusticeForZainab","Why are bloody separatists silent over rape and murder of a 7-year-old girl Zainab in Pakistan? Zainab was raped and dumped in dumpster when her parents were out for Umrah pilgrimage. 
Oh! Yes Hurriyat can't raise their voice against the Pakistan.
#JusticeForZainab",,
,,Jan 11,"This,JusticeForZainab","This 
#JusticeForZainab 
@iqrarulhassan @iihtishamm @WaseemBadamipic.twitter.com/FcihrNpQlR",,
,,Jan 11,"Not,JusticeForZainab","Not only humans,humanity is being killed
RIP little angel
#JusticeForZainab",,
,,Jan 11,"1.,JusticeForZainab","1. Would an American be forced to step down from a police investigation team 4 being Black or Muslim? Would an Indian team lead be removed for being Muslim? This is how intolerant our society has become. 
2. I hope Zainab finds justice. #JusticeForZainab https://twitter.com/DunyaNews/status/951697048314707968 …",,
,,Jan 11,"A,JusticeForZainab",A Young Girl's Rape And Murder Have Catalyzed Countrywide Outrage In Pakistan https://n.pr/2qVK74q  #JusticeForZainab,,
,,Jan 11,"Seven,JusticeForZainab","Seven year old  Zainab fairy like innocent girl , her  speech about Daughter ,  #JusticeForZainab http://youtu.be/UqSIpphbpZo?a",,
,,Jan 11,"Most,JusticeForZainab","Most ironical is the fiendish approach of our politicians in our society. When criminals are ruling the government & sitting in the parliaments than in this situation how we can expect any change in Pakistani society.
#JusticeForZainab pic.twitter.com/VGfWB9bTLx",,
,,Jan 11,"It,Zainab,JusticeforZainab","It isn't just abt #Zainab . So many females of all age groups are exploited, teased, molested, harassed and raped. It could be anyone's sister, daughter or mother.  The world must unite to confront this inhuman and barbaric act. 
#JusticeforZainab",,
,,Jan 11,"This,JusticeForZainab","This is a Ripper Of a Message by @RadioMirchi @MirchiRJNaved 
When we allow what we know is not right Than this happens! 
#JusticeForZainab pic.twitter.com/rVxhmkPrd8",,
,,Jan 11,"AsalamoAlaikum,JummaMubarak,JusticeForZainab","AsalamoAlaikum
Today's blessed day begins with this prayer. The cute Zainab killers get to be punished soon
that more children do not suffer from them (Ameen)
#JummaMubarak
#JusticeForZainab",,
,,Jan 11,"Body,Kasur's,justiceforzainab,justiceforSharaq",Body of 12-year-old Sharaq recovered from #Kasur's field.  https://www.thenews.com.pk/latest/267299-another-body-of-12-year-old-boy-recovered-from … #justiceforzainab #justiceforSharaq,,
,,Jan 11,"If,JusticeForZainab","If you talk to your daughter about SAFETY..
Talk to your son about CONSENT..
#JusticeForZainab pic.twitter.com/hikI27DidD",,
,,Jan 11,"If,Lahore,JusticeForZainab,LalakJanChowk",If you are in #Lahore then please join us #JusticeForZainab #LalakJanChowk 19th Jan 4pm.pic.twitter.com/raTSijOIxu,,
,,Jan 11,"As,JusticeForZainab","As chief minister Punjab @CMShehbaz took 898988767758765985765659864 notices ONLY during last 10 years and all of them are pending.
#JusticeForZainab pic.twitter.com/rPLBk8M8Hy",,
,,Jan 11,"May,JusticeForZainab",May the Almighty keep every kid safe. Ameen. We want #JusticeForZainab pic.twitter.com/ZFzqcBVTjo,,
,,Jan 11,"Re:,JusticeForZainab","Re: calls for public hanging, sorry but 1. Barbarity by the State de-humanises and leads to barbarity in society (remember Ziaul Haq, public hangings, floggings). 2. Certainty of punishment deters crime more rather than severity of punishment. #JusticeForZainab",,
,,Jan 11,"Please,JusticeforZainab",Please RETWEET.  #JusticeforZainab pic.twitter.com/ng3wY70ezU,,
,,Jan 11,""",JusticeForZainab",""" The Smallest Coffins are the Heaviest ""
#JusticeForZainab pic.twitter.com/oRaBiqYYQq",,
,,Jan 11,"Our,JusticeForZainab",Our Zainab was a hard-working kid  The nation lost a gem #JusticeForZainab pic.twitter.com/tqvhgq9A4t,,
,,Jan 11,"Journalists,JusticeforZainab.,ShahzadRoy","Journalists and media personalities took to the streets and protested to bring #JusticeforZainab. See what #ShahzadRoy had to say about the unfortunate event, where 7 year old Zainab became a victim of sexual assault and murder.pic.twitter.com/je0XwYvCaG",,
,,Jan 11,"WAPDA,JusticeForZainab",WAPDA wearing black bands today in semifinal vs PTV in solidarity with Zainab #JusticeForZainab @KamiAkmal23 @WahabViki @im_SalmanButtpic.twitter.com/GjQDEXEwJo,,
,,Jan 11,"From,JusticeForZainab.,PMLN's","From nowhere this looks editorial of newspaper on #JusticeForZainab. A hate-piece by #PMLN's media group against @BBhuttoZardari, @ImranKhanPTI & @TahirulQadri. Bastards like Mir Shakil-u-Rehman have made Journalism a 'red light area', everything for sell. https://www.thenews.com.pk/print/267345-justice-for-zainab …",,
,,Jan 11,"@AlienRTs,HumanRights,News,Share,JusticeForZainab:","@AlienRTs @NightRTs @CalzhyRTs #HumanRights #News
#Share
BBC News - #JusticeForZainab: Anger and anguish over child's murder http://www.bbc.co.uk/news/blogs-trending-42646151 …",,
,,Jan 11,"Not,NirbhayaAgain,JusticeForZainab,jyotisingh,Bulandshahr,TandoorKand,JessicaLal,BhanwariDevi,maritalrape,bhopalgangrape,gurmeetramrahim,Nirbhaya,delhigangrape,MeToo,ViolenceAgainstWomen,Rape,rapes,gangrape","Not all Men are Trash, 
but all Rapists are TRASH.
#NirbhayaAgain
#JusticeForZainab 
 #jyotisingh
#Bulandshahr
#TandoorKand
#JessicaLal
#BhanwariDevi
#maritalrape
#bhopalgangrape
#gurmeetramrahim
#Nirbhaya
#delhigangrape
#MeToo
#ViolenceAgainstWomen
#Rape #rapes
#gangrape
...",,
,,Jan 11,"Time,JusticeForZainab,EndChildSexualAbusepic.twitter.com/Sxn6X1MpOG","Time to empower your children to be brave and safe. Inform them about the risk of sexual abuse and teach them to say ""Don't touch me !"" 
#JusticeForZainab #EndChildSexualAbusepic.twitter.com/Sxn6X1MpOG",,
,,Jan 11,"My,JusticeForZainab","My Name is Faryal  I m From peshawer
I Demand Justice for my Sister Zainab 
#JusticeForZainab",,
,,Jan 11,"A,JusticeForZainab",A Young Girl's Rape And Murder Have Catalyzed Countrywide Outrage In Pakistan #JusticeForZainab https://n.pr/2qVK74q,,
,,Jan 11,"BBC,JusticeForZainab","BBC reports 
Justice for Zainab hashtag started by PAT!
BBC News Link: http://www.bbc.com/news/blogs-trending-42646151 …
#JusticeForZainab pic.twitter.com/ELVoDwXl4w",,
,,Jan 11,"We,JusticeForZainab","We live in a society that teaches women to be careful not to get raped instead of teaching men Not to rape.
Why? 
#JusticeForZainab",,
,,Jan 11,"I,JusticeForZainab.","I am from Phillipines and I demand #JusticeForZainab.
There is no excuse and never an invitation to rape regardless of their age, race, gender, religion or social status. STOP RAPE CULTURE.",,
,,Jan 11,"I,JusticeForZainab",I have the greatest empathy for Zainab's parents. No parent should have to go through such griefs There must be #JusticeForZainab but in our quest for justice unjust demands cannot be accepted. Cannot change the head of the enquiry committee because his religion isn't acceptable.,,
,,Jan 11,"We,JusticeForZainab",We Indians stand with you pakistanis #JusticeForZainab,,
,,Jan 11,"don't,JusticeForZainab","don't tell your daughters not to go out, teach your goddamn sons to be humans, not scavengers. #JusticeForZainab pic.twitter.com/pItFGfFtZg",,
,,Jan 11,"We,JusticeForZainab","We trap our daughters to the point of oppression sometimes and elevate our sons to a status of being above the law and are surprised that boys grow up to be worse than criminals? Hold your sons to the same standard as their sisters. Educate. Your. Sons. Early. 
#JusticeForZainab",,
,,Jan 11,"Time,JusticeForZainab","Time to put pressure on Pakistan for turning a blind eye to violence against little boys. From the streets to madrasas, a culture of public abuse and rape of boys is permitted. The problem has reached epidemic levels, directly impacting women. #JusticeForZainab",,
,,Jan 11,"Victim...,JusticeForZainab","Victim... Changes!
Rapist... Changes!
But the headline remain the same,
""Another Child Raped...""
Hang the killers & cut their ugly dicks publicly just once. Yess, This is the way!!!!
#JusticeForZainab",,
,,Jan 11,"Shame,JusticeForZainab","Shame on all those who have tried to make this about Punjab or KPK, PMLN or PTI. All of you have just added pain and misery to this cause, nothing else #JusticeForZainab",,
,,Jan 11,"It's,JusticeForZainab.","It's unfair on Zainab to declare or associate anyone with her case without any evidence. Be careful what you share and what you hear. 
 #JusticeForZainab. Please watch this video pic.twitter.com/dy5EW2W5i3",,
,,Jan 11,"Don’t,JusticeForZainab","Don’t have words to condemn and express my pain for 7 years old Zainab, brutally raped and killed. The education & system which creates such savages need to be counter. There are so many other Zainabs, waiting for justice. #JusticeForZainab pic.twitter.com/hitRMmtVPF",,
,,Jan 11,"What,JusticeForZainab","What hurts the most that she was walking with that monster and believed to be safe. 
#JusticeForZainab pic.twitter.com/2Txeuf0iT2",,
,,Jan 11,"Those,JusticeForZainab",Those beautiful eyes. I cant imagine the fear in them when she was in her final moments. I cringe. My blood boils when i see that evil man taking her by the hand and walking away. What punishment could ever bring justice for this horrific crime?!Unforgivable!! #JusticeForZainab,,
,,Jan 11,"“Zainab’s,justiceforzainab","“Zainab’s case is the 13th sexual assault case related to a minor in the Kasur area in a year”
why is it nobody talks about this stuff when it’s happening somewhere else besides the U.S. #justiceforzainab https://twitter.com/theaffinitymag/status/951566889389625346 …",,
,,Jan 11,"I,JusticeForZainab","I am trying to go sleep past 48 hours but I couldn’t, I am too tired now & these Pictures are hurting me alot 
#JusticeForZainab pic.twitter.com/Cs3R9wNxk9",,
,,Jan 11,"True,FridayFeelings,JusticeForZainab",True compassion means not only feeling another's pain but also being moved to help relieve it. #FridayFeelings #JusticeForZainab,,
,,Jan 11,#JusticeForZainab,"#JusticeForZainab 
Guys today is Friday so do remember Zainab in ur prayers. 
 pic.twitter.com/BUmjppx6sc",,
,,Jan 11,"“It’s,Zainab,Pakistan,ZainabKoInsaafDo,JusticeForZainab,ZainabMurderhttp://snpy.tv/2muS5Nr",“It’s a failure of the justice system.” - @YasmeenHassan7 of @equalitynow on rape and murder of 7-yr-old #Zainab Amin in #Pakistan #ZainabKoInsaafDo #JusticeForZainab #ZainabMurderhttp://snpy.tv/2muS5Nr,,
,,Jan 11,"My,JusticeForZainab","My hands tremble with absolute fury at This Pure Princess, she is all of our Daughter! #JusticeForZainab",,
,,Jan 11,"I,JusticeForZainab",I want justice. WE WANT JUSTICE. #JusticeForZainab,,
,,Jan 11,"If,ZainabMurderCase,JusticeForZainab","If the Victims father wants a Muslim Man to be a JIT head in #ZainabMurderCase what is wrong with this? It is his legit demand.
Kuch brgharat sagafi & fake Right campaigners es KO ghalt rang DA rahy Han.
 #JusticeForZainab pic.twitter.com/U8eRH8x1pQ",,
,,Jan 11,"Shatter,JusticeForZainab,Pakistan,Kasurpic.twitter.com/FQ98Dkq27g","Shatter the ignorance...share it do not ignore this video...it can happen to your child
#JusticeForZainab #Pakistan
#Kasurpic.twitter.com/FQ98Dkq27g",,
,,Jan 11,"The,JusticeForZainab",The rape and murder of seven-year-old Zainab Ansari was the 12th such case in Kasur district in the last year. http://aje.io/44b3s  #JusticeForZainab,,
,,Jan 11,"#JusticeForZainab,justiceforallchildren",#JusticeForZainab #justiceforallchildren Allah protect our daughters our children humanity in trash burnt !killers be hanged!pic.twitter.com/acC7UJcSMa,,
,,Jan 11,"It,JusticeForZainab","It seem that people only care about their own pain! selfish! If they losing a loved one, because Allah decided so..they crying..they asking u for prayers! But,when they hear someone else lost a little doll! They just tweeting about life, like nothing happend! #JusticeForZainab",,
,,Jan 11,"Mam,JusticeForZainab,PMLF,GDApic.twitter.com/YEBWyzhD6P","Mam Nusrat Sehar Abbasi Addressed In Sindh Assembly About Angle Zainab Issue Mam We Agree And Stand With You.
“Justice Delayed Is Justice Denied""
#JusticeForZainab @nsabbasi69
#PMLF #GDApic.twitter.com/YEBWyzhD6P",,
,,Jan 11,".@DFSMQM,JusticeForZainab,Sindh",.@DFSMQM .@MQMPKOfficial in 360 degree angle has lodged its protest for #JusticeForZainab & to express solidarity with her family. Submitted Adjournment Motion & Resolutions in National & #Sindh assembly. .@IzharulHassan & others visited Zainab's home. Protest @ AishaManzilpic.twitter.com/86T8LJJnFN,,
,,Jan 11,"Little,ZainabAmeen,مجھے_کیوں_مارا,JusticeForZainab","Little innocent flower #ZainabAmeen was ready to see off her parents at airport for performing umrah.But no one knows this was her last meeting with her parents .
#مجھے_کیوں_مارا 
#JusticeForZainab pic.twitter.com/L1hcd9ZvuG",,
,,Jan 11,"A,JusticeForZainab","A Public Message
#JusticeForZainab 
@ukuroojkhan2 @ShahinaAhmed10 @maryam_arshad90 @abidifactor @s4shaharyar @SaadMalikDmc @RashidRaajput @IzharulHassanpic.twitter.com/Hx5AEkX04w",,
,,Jan 11,"#JummaMubarak,JusticeForZainab",#JummaMubarak everyone. Please remember little Angel Zainab in your prayers. May Al Mighty Grant her higher place in Jannah (Ameen). #JusticeForZainab pic.twitter.com/ZwTCFdUBFh,,
,,Jan 11,"She,JusticeForZainab",She was truly an angel... #JusticeForZainab pic.twitter.com/ByWygBL6li,,
,,Jan 11,"Chairman,DmcCentral,JusticeForZainab","Chairman #DmcCentral .@MRehanHashmi .@JamalAhmedMPA .@MQMPKOfficial District Central Incharge Arshad Shah alongwith office bearers of .@YouthParlPak, ABAD, civil society, teachers, elected public representatives & workers are demanding #JusticeForZainab at Aisha Manzil. pic.twitter.com/hzwHqyqs1g",,
,,Jan 11,#JusticeForZainab,#JusticeForZainab has been trending after the rape and murder of an eight-year-old girl in Pakistan pic.twitter.com/HO6rRZaJqu,,
,,Jan 11,"#Kasur,JusticeForZainab","#Kasur 
Zainab is not the 1st one Eimaan Fatima, Fauzia,Noor Fatima,Sanna Asma and Laiba were kidnaped from kasur in 2017& their dead bodies recovered from diff part of the city.kon dey ga insaaf sab ko?
#JusticeForZainab 
@SAfridiOfficial 
@iqrarulhassan 
@AbrarUlHaqPKpic.twitter.com/yoFiEbzX7w",,
,,Jan 11,"Tweeting,JusticeForZainab",Tweeting just to keep this trend alive #JusticeForZainab,,
,,Jan 11,"Instead,JusticeForZainab","Instead of lighting candles, I request you all to recite surah Fatiha and pray from Allah to grant Zainab's parents with sabr. May Allah punish the evil offenders involved in this heinous crime. Ameen
Also keep an eye on your surroundings for such butchers. 
#JusticeForZainab",,
,,Jan 11,"Heartbreaks,JusticeForZainab","Heartbreaks everytime when u see  Innocent face of Zainab 
#JusticeForZainab",,
,,Jan 11,"I,JusticeForZainab","I don't want to comment much on Gulalai because I am still confused what to call her, NALALAI or LULALAI 
#JusticeForZainab",,
,,Jan 11,"Last,JusticeForZainab","Last Home work Of Zainab 
I couldn't stop my tears after seeing this  
#JusticeForZainab pic.twitter.com/JUA87wbf5L",,
,,Jan 11,"The,JusticeForZainab.","The rape problem is not confined to Pakistan alone but this bigotry is.
This is how Pakistan will serve #JusticeForZainab. Her father wants the enquiry to stop as the JIT head is an Ahmadiyya Muslim. Her rapists were most likely Sunnis, does that make them less criminal? pic.twitter.com/OuTEd4TzhZ",,
,,Jan 11,"Despite,JusticeForZainab","Despite of finding Zainab's KIller, Gullu police of @CMShehbaz is after those protesters who were demanding Justice!
People of Punjab
Don't forget this Hitler aka ""Khadim E Aalaa"" just remember him in upcoming 2018 elections.  
#JusticeForZainab https://twitter.com/geonews_urdu/status/951533671043002371 …",,
,,Jan 11,"PROTEST,KasurChildAbuse,JusticeForZainab","PROTEST For #KasurChildAbuse 
Request to All Ladies of Karachi Division Must Join us Today 12th January 3pm at Karachi Press Club #JusticeForZainab 
@BBhuttoZardari @BakhtawarBZ @AseefaBZ @SaeedGhani1 @SyedaShehlaRazapic.twitter.com/eOJQbmAyn8",,
,,Jan 11,"Protests,JusticeForZainab","Protests over Zainab Ansari's death have spread and taken over Pakistan. @FedericaBaggio looked at the reactions on social media, with @LailaHarrak: 
#JusticeForZainab pic.twitter.com/taO4qZ53Va",,
,,Jan 11,"My,Zainab,JusticeForZainab","My heart grieved in pain when i saw and heard about #Zainab and i will wait for the day, When this small girl will get justice.
#JusticeForZainab",,
,,Jan 11,"Shame,JusticeForZainab","Shame on likes of @ImranKhanPTI for using this unfortunate & heart wrenching incident for personal & political point scoring. We should learn & collectively fight this menace. @FaraQureshi @marvisirmed @beenasarwar @SPrettybanshee @FaraQureshi @madihapmln
#JusticeForZainab pic.twitter.com/t6Eh0fNZm2",,
,,Jan 11,"Kainat,saveKainat,JusticeForZainab","Kainat Age 6 years 
also Brutally Raped thrown in to a trash heap in Kasur,,
She is comatose, 
12 other little girls like her never survived , but she is Stil alive ,
 Her parents are Too weak to even afford the expenses of the treatment 
#saveKainat 
#JusticeForZainab pic.twitter.com/mMFi5euYo0",,
,,Jan 11,"*Goosebumps*,JusticeForZainab","*Goosebumps*
#JusticeForZainab  pic.twitter.com/9PHG6P0Hy1",,
,,Jan 11,"Zainab,JusticeForZainab","Zainab was with her cousin the day she was kidnapped, says father https://arynews.tv/en/zainab-father-ary-doubts-sexual-abuse/ … #JusticeForZainab",,
,,Jan 11,"I,JusticeForZainab",I am a Pakistani Atheist. Zainab’s father hates me for having no faith. But I stand without any if and buts with Zainab. Zainab meri bhi beti thi! #JusticeForZainab,,
,,Jan 11,"He,JusticeForZainab","He is just compact version of ""Mujhe Kyun Nikala"" from same product line and manufacturer​ 
#JusticeForZainab pic.twitter.com/uiO7r9yxyq",,
,,Jan 11,"How,JusticeForZainab","How a little girl's brutal rape and murder has outraged Pakistan. 
#JusticeForZainab 
http://bbc.in/2DlsoGh pic.twitter.com/HDiuE8zeyd",,
,,Jan 11,#JusticeForZainab,"#JusticeForZainab was first used by activists for the opposition party Pakistan Awami Tehreek (PAT). The party is fiercely opposed to the ruling Pakistan Muslim League who control the Punjab province.
@AtiqRehmanPAT 
@BBCWorld Link: http://www.bbc.com/news/blogs-trending-42646151 …pic.twitter.com/qIF7qbRplh",,
,,Jan 11,"'When,JusticeForZainab","'When the CM Punjab says, or in this case tweets, that those failing in their duties to arrest those responsible will face action — he doesn’t appear to understand that the buck stops with him.'
https://dailytimes.com.pk/178337/justiceforzainab/ …
@dailytimespak editorial #JusticeForZainab",,
,,Jan 11,"""Our,justiceforzainab","""Our letter is to those who claim to be leaders and protectors of this country - the police, the judiciary, and the government. You are failing."" #justiceforzainab http://chn.ge/2D4UO9A  via @CdnChange",,
,,Jan 11,"Can,JusticeForZainab,ZainabKoInsaafDo,NoMoreChildAbuse","Can you help me out by signing this petition?
http://chn.ge/2D0bwqP 
 #JusticeForZainab
 #ZainabKoInsaafDo
 #NoMoreChildAbuse",,
,,Jan 11,"For,JusticeForZainab","For all those activists and media persons who are trying to be Sherlock Holmes in #JusticeForZainab movement, please watch this video pic.twitter.com/rP5MzsRp4C",,
,,Jan 11,"7,JusticeForZainab","7 years old Zainab in Kasur...
15 years Faizan in Faisalabad...
15 old years girl in Sargodah...
11 years old boy in Patoki....
What the hell Punjab Government is doing??? Yes one thing ""Taking Notices""
#JusticeForZainab 
@ShkhRasheed @iqrarulhassanpic.twitter.com/rnTsLjkbB1",,
,,Jan 11,"#JusticeforZainab,JusticeForAllChildren","#JusticeforZainab 
#JusticeForAllChildren 
I have found the murderer....pic.twitter.com/IRbyrS84nx",,
,,Jan 11,"How,justiceforzainab",How can you harm such a harmless little girl? for those who say why does hell fire exist? It’s so evil animals like the killer can suffer if he don’t repent. And paradise exists for such beautiful souls who have been killed. #justiceforzainab bring death penalty to these ppl! pic.twitter.com/iRYCQpsuI3,,
,,Jan 11,"If,JusticeForZainab","If LANAT had a face, it would exactly look like Rana Muchur 
#JusticeForZainab pic.twitter.com/mfs9M0ZSej",,
,,Jan 11,"Do,JusticeForZainab","Do something, apprehend Zainab’s killer: Sanam Saeed #JusticeForZainab
https://www.samaa.tv/editor-s-choice/2018/01/something-apprehend-zainabs-killer-sanam-saeed/ …",,
,,Jan 11,"Gagamel,JusticeForZainab,TrapaDrive,GainWithXtianDela,TeamCaramac,GabberHubDotComGain,1DDrive,TEAMSTALLION,ツᎷᎶᏔѴツhttps://youtu.be/CbKJ5dI878M","Gagamel
#JusticeForZainab 
RT this 100+
Follow@BebeCoolUG 
Follow all who RT
#TrapaDrive
#GainWithXtianDela
#TeamCaramac 
#GabberHubDotComGain
#1DDrive
#TEAMSTALLION
#ツᎷᎶᏔѴツhttps://youtu.be/CbKJ5dI878M",,
,,Jan 11,"Do,JusticeForZainab","Do we have a President in our country?
Do we have any prime minster there?
Are they alive or become Zombies?
Has anyone seen any statement by these two on horrific incidents happened in Kasur, Faisalabad, Sargodha and Patoki? 
#JusticeForZainab",,
,,Jan 11,"My,JusticeForZainab",My heart is heavy. This can’t be real. Humans cannot be capable of something so disgusting. So sick to my stomach. She was just 7 & had her whole life ahead of her. We need justice. #JusticeForZainab,,
,,Jan 11,"This,JusticeForZainab","This makes me sickkkk....
#JusticeForZainab https://twitter.com/iihtishamm/status/950933361593380864 …",,
,,Jan 11,"BAM!,JusticeForZainab,DriveWithTooro,GainWithPyeWaw,TrapaDrive,MzansiFolloTrain,1DDrive,MzanziFolloTrainhttps://youtu.be/CbKJ5dI878M","BAM! BAM! BAM! 
Gagamel
#JusticeForZainab 
Online...
Retweet if u want to gain 999+ Active Followers! 
#DriveWithTooro
#GainWithPyeWaw
#TrapaDrive 
#MzansiFolloTrain 
#1DDrive 
#MzanziFolloTrainhttps://youtu.be/CbKJ5dI878M",,
,,Jan 11,"It’s,JusticeForZainab","It’s Viral on social media. We need a Mard I Momin to face the crisis boldly with total commitment selfless objective. Only for Pakistan.
#JusticeForZainab pic.twitter.com/TUWU47FJlX",,
,,Jan 11,"Protests,JusticeForZainab",Protests continue in Pakistan as police criticised for failing to apprehend the man who raped and murdered a seven-year-old girl http://aje.io/yxw4y  #JusticeForZainab pic.twitter.com/7Pp1dCpdkr,,
,,Jan 11,"Our,JusticeForZainab",Our reporter @minerwatahir talks to actress Tooba Siddiqui at a protest demand #JusticeForZainab at the Karachi Press Club earlier today - she says that there can't be silence anymore in society on the issue of sexual abuse of children pic.twitter.com/4MSDsFgiGV,,
,,Jan 11,"Where's,NoMoreChildAbuse,JusticeForZainab","Where's feminism now?Now that a girl has been raped ? Where's women power? Where are those who boast about there rights? Probably writing shit on social media platforms. Showing there anger by tweeting .Is this feminism just about your self ?
#NoMoreChildAbuse 
#JusticeForZainab",,
,,Jan 11,"WHT,JusticeForZainab,PMLN","WHT
Entire country is condemning horrific Kasur incident and demanding #JusticeForZainab while this disgusting #PMLN rental bitch is cursing Imran Khan for Zainab's rape and murder and didn't say a single word against Govt of Punjab.
Woman like her is a black mark on Womanhood! pic.twitter.com/phBylYwDem",,
,,Jan 11,"Last,Justiceforzainab,ZainabKoInsaafDopic.twitter.com/1X9ni6taGf","Last HomeWork of Zainab 
#Justiceforzainab
#ZainabKoInsaafDopic.twitter.com/1X9ni6taGf",,
,,Jan 11,#JusticeForZainab:,"#JusticeForZainab: How one little girl's brutal rape and murder has outraged Pakistan 
http://bbc.in/2DlsoGh pic.twitter.com/533TpWYEAg",,
,,Jan 11,"Plz,JusticeForZainab","Plz read this Guysss..
#JusticeForZainab pic.twitter.com/EXeTdqFqwh",,
,,Jan 11,"#KainatBatool,JusticeForZainab","#KainatBatool the 6 year old rape victim trying survive. please help her too
#JusticeForZainab",,
,,Jan 11,"Pakistan,JusticeForZainab,Justice4Zainab",Pakistan Zainab murder: Help police find the killer - http://www.bbc.co.uk/news/world-asia-42651070 … #JusticeForZainab #Justice4Zainab https://twitter.com/daniel86cricket/status/951519843144126464/photo/1pic.twitter.com/0WniGalYhX pic.twitter.com/0P5MHN6Bzl,,
,,Jan 11,"BBC,JusticeForZainab:,JusticeForZainab","BBC News - #JusticeForZainab: Anger and anguish over child's murder 
nternational media says BBC say #JusticeForZainab was launched & first used by activists for the opposition party Pakistan Awami Tehreek @PATofficialPK activists @AtiqRehmanPAT 
@BBChttp://www.bbc.com/news/blogs-trending-42646151 …",,
,,Jan 11,"The,JusticeForZainab,ARYStoriespic.twitter.com/nhhEOMWekw","The footprints left behind, the words left unspoken.
#JusticeForZainab #ARYStoriespic.twitter.com/nhhEOMWekw",,
,,Jan 11,"First,ShameOnCMPunjab,JusticeForZainab","First 7 years old Zainab in Kasur
Then 15 years Faizan in Faisalabad
Today 15 old years girl in Sargodah
And now 11 years old boy in Patoki
What the hell is happening in Punjab! 
Immediately resign @CMShehbaz you incompetent psychopath 
#ShameOnCMPunjab
#JusticeForZainab pic.twitter.com/NuyI8l6iV0",,
,,Jan 11,"Thought,justiceforzainab,JusticeforNaila,JusticeForAllChildren,RIPpic.twitter.com/59efTBlu5v","Thought I might offer my condolences to little Naila and all like her. Indeed, this is awful and pulls on my heart strings. #justiceforzainab #JusticeforNaila #JusticeForAllChildren all my prayers #RIPpic.twitter.com/59efTBlu5v",,
,,Jan 11,#JusticeforZainab:,"#JusticeforZainab: Zainab Ansari's rape and death, along with that of 8 other children, has caused outrage in Kasur, Pakistan. 2 people were killed during protests against police inaction. pic.twitter.com/kTBZgyqKwO",,
,,Jan 11,"Sadaf,","Sadaf, look what international media says:
""#JusticeForZainab was first used by activists for the opposition party Pakistan Awami Tehreek (PAT)."" @AtiqRehmanPAT 
http://www.bbc.com/news/blogs-trending-42646151 …pic.twitter.com/xv7AERuaZn",,
,,Jan 11,"I,JusticeForZainab","I Can’t Even Explain What
 I'm Feeling From Yesterday.
So Depressed & Heart Broken.
 NO WORDS.. 
JUST WANT  #JusticeForZainab",,
,,Jan 11,"Geo,JusticeForZainab",Geo News anchors have the rare ability to collectively shame us for being such a society while shamelessly defending those who are responsible for getting us there. #JusticeForZainab,,
,,Jan 11,".@sabaqamar,JusticeForZainab,JusticeForAllChildren,ChildAbusepic.twitter.com/ZTWWHW92Kg",".@sabaqamar broke down while discussing the brutal rape and murder of Zainab.
#JusticeForZainab #JusticeForAllChildren #ChildAbusepic.twitter.com/ZTWWHW92Kg",,
