UserName,FullName,Date,First Hashtags,Alt Hashtags,Tweet,Retweets,Retweets (w/ Text),Likes,Likes (w/ Text),URL Path
@JustTrustKhan @JustTrustKhan @JustTrustKhan @JustTrustKhan @JustTrustKhan,Just TrustKhan‏ @JustTrustKhan,22-Jan,#JusticeForZainab,,Please Ppl If You Have A Heart Don't Let This #JusticeForZainab Die We Want Accountability If Not Provided RESIGN @CMShehbaz,1 28 28 47 47,"Retweet
    
      
    28
  
  
    
      
      Retweeted
    
      
    28",,"Like
    
      
    47
  
  
    
      
      
      Liked
    
      
    47",/JustTrustKhan/status/955685382229766145
@sitaravirgo @sitaravirgo @sitaravirgo @sitaravirgo @sitaravirgo,SITARA S_group  🌟 🌺 🌸‏ @sitaravirgo,22-Jan,"#JusticeForZainab,JusticeForZainab",#JusticeForZainab,"#JusticeForZainab 
Ya Allah we pray for #JusticeForZainab the innocent 7yesrs old little girl of Pakistan who raped killed and then her body was found from a heaped bin how much cruelty was done killer is still free , please AllahPak help to find the killer and give punish pic.twitter.com/wIStNWaO58",1 21 21 33 33,"Retweet
    
      
    21
  
  
    
      
      Retweeted
    
      
    21",,"Like
    
      
    33
  
  
    
      
      
      Liked
    
      
    33",/sitaravirgo/status/955646539321536512
@sitaravirgo @sitaravirgo @sitaravirgo @sitaravirgo @sitaravirgo,SITARA S_group  🌟 🌺 🌸‏ @sitaravirgo,22-Jan,"#JusticeForZainab,zainab",#zainab,"#JusticeForZainab 
Apeal to courts , and police departments to investigate and give justice in #zainab case as early as possible Zainab was daughter of Pakistan , who raped killed , and dumped into trash , in a brutal way 
where was humanitypic.twitter.com/1pCjqdoMzs",1 17 17 30 30,"Retweet
    
      
    17
  
  
    
      
      Retweeted
    
      
    17",,"Like
    
      
    30
  
  
    
      
      
      Liked
    
      
    30",/sitaravirgo/status/955644893484994560
@mhgohar @mhgohar @mhgohar @mhgohar @mhgohar,Mamtaz Hussain Gohar‏ @mhgohar,22-Jan,"#Zainab,StopChildAbuse,JusticeForZainab,Sahil",#StopChildAbuse,"After #Zainab case more then 100 cases of Child Sexual Abuse has been reported. It is due to sentization, public awareness and media's interest to public issues. #StopChildAbuse #JusticeForZainab #Sahil @Sahil_NGO
@FriehaAltaf @NJLahori @etribune @RehamKhan1 @gabeeno",4 18 18 27 27,"Retweet
    
      
    18
  
  
    
      
      Retweeted
    
      
    18",,"Like
    
      
    27
  
  
    
      
      
      Liked
    
      
    27",/mhgohar/status/955424896254971904
@imanahilsh @imanahilsh @imanahilsh @imanahilsh @imanahilsh,Manahil Shafiq‏ @imanahilsh,22-Jan,#JusticeForZainab,,Where exactly is  #JusticeForZainab ? it has been around 13 days and it's totally pathetic that there is no sign of justice or legit action against similar cases.,2 22 22 40 40,"Retweet
    
      
    22
  
  
    
      
      Retweeted
    
      
    22",,"Like
    
      
    40
  
  
    
      
      
      Liked
    
      
    40",/imanahilsh/status/955372584031354881
@faizanyacin @faizanyacin @faizanyacin @faizanyacin @faizanyacin,Muhammad Faizan Yacin‏ @faizanyacin,21-Jan,#JusticeForZainab,,"13th Day Still No Break Through as SC gave a 72 Hour Deadline on Sunday to Arrest the Culprits.
The Police so far persued a One Track Investigation and took Over 800 DNA Samples & Arrested few People on Suspicion. 
HIGHLY DISSATISFIED 
 #JusticeForZainab pic.twitter.com/6N9wva3K0o",3 50 50 85 85,"Retweet
    
      
    50
  
  
    
      
      Retweeted
    
      
    50",,"Like
    
      
    85
  
  
    
      
      
      Liked
    
      
    85",/faizanyacin/status/955322280103612417
@FriehaAltaf @FriehaAltaf @FriehaAltaf @FriehaAltaf @FriehaAltaf,Frieha Altaf‏ @FriehaAltaf,21-Jan,"#MeToo,StopChildAbuse,JusticeForZainab",#JusticeForZainab,Humanity is not gender based. Some of my best friends n supporters r men. I don’t believe in a witch hunt. #MeToo should be for boys/men too! Many have suffered from sexual harassment n abuse. #StopChildAbuse #JusticeForZainab @NJLahori @Maheenkhanpk @sahilngo @fifiharoon,6 17 17 84 84,"Retweet
    
      
    17
  
  
    
      
      Retweeted
    
      
    17",,"Like
    
      
    84
  
  
    
      
      
      Liked
    
      
    84",/FriehaAltaf/status/955315205256437761
@ShNoumi @ShNoumi @ShNoumi @ShNoumi @ShNoumi,Sh Noumi‏ @ShNoumi,21-Jan,#JusticeForZainab,,LAHORE: The Supreme Court has given 72 hours to the joint investigation team (JIT) probing the rape and murder of seven-year-old Zainab to bring the investigation to its logical conclusion. #JusticeForZainab pic.twitter.com/PR5GNjt9Hk,4 20 20 27 27,"Retweet
    
      
    20
  
  
    
      
      Retweeted
    
      
    20",,"Like
    
      
    27
  
  
    
      
      
      Liked
    
      
    27",/ShNoumi/status/955187872113610752
@ShNoumi @ShNoumi @ShNoumi @ShNoumi @ShNoumi,Sh Noumi‏ @ShNoumi,21-Jan,#JusticeForZainab,,"KASUR, Pakistan — The second-grader's homework assignment on Jan. 3 was to describe herself. ""I am a girl,"" wrote Zainab Amin, who had a perky smile and a pageboy haircut. ""I am seven years old. I live in Kasur. I love mangoes."" #JusticeForZainab pic.twitter.com/bxgxo5fqDA",1 26 26 40 40,"Retweet
    
      
    26
  
  
    
      
      Retweeted
    
      
    26",,"Like
    
      
    40
  
  
    
      
      
      Liked
    
      
    40",/ShNoumi/status/955185523349442560
@julystar69 @julystar69 @julystar69 @julystar69 @julystar69 @S_Fahim_IQ @sitaravirgo,Julie_Queen  👸‏ @julystar69,21-Jan,"#JusticeForZainab,justice,zainab",#justice,"#JusticeForZainab 
days are passing and still the killer is enjoying life under the shelter of powerful mafia 
how much it will take to give #justice to #zainabpic.twitter.com/uvcmFuY2aJ",1 20 20 25 25,"Retweet
    
      
    20
  
  
    
      
      Retweeted
    
      
    20",,"Like
    
      
    25
  
  
    
      
      
      Liked
    
      
    25",/julystar69/status/955143657350422530
@ramizmurtaza @ramizmurtaza @ramizmurtaza @ramizmurtaza @ramizmurtaza,Ramiz Murtaza Abbasi‏ @ramizmurtaza,21-Jan,"#Zainab,JusticeforZainab",#JusticeforZainab,"I will tweet at least one Tweet per day for #Zainab.
Untill she gets justice.
Hope you all guys will do the same.
#JusticeforZainab pic.twitter.com/8twGJvMeqY",3 27 27 33 33,"Retweet
    
      
    27
  
  
    
      
      Retweeted
    
      
    27",,"Like
    
      
    33
  
  
    
      
      
      Liked
    
      
    33",/ramizmurtaza/status/955100730330943488
@RabiaAnumm @RabiaAnumm @RabiaAnumm @RabiaAnumm @RabiaAnumm,Rabia Anum‏Verified account @RabiaAnumm,21-Jan,"#Lekin,JusticeforZainab",#JusticeforZainab,"Tune into #Lekin on GeoNews at 7:05pm as we talk about the Killing and Murder of Intezar,Naqib Ullah and Maqsood by the hands of Police in Khi, the reality behind police encounters and #JusticeforZainab today.",34 26 26 411 411,"Retweet
    
      
    26
  
  
    
      
      Retweeted
    
      
    26",,"Like
    
      
    411
  
  
    
      
      
      Liked
    
      
    411",/RabiaAnumm/status/955072522734723072
@sadafaj @sadafaj @sadafaj @sadafaj @sadafaj @iqrarulhassan,Sadaf Jabbar‏ @sadafaj Iqrar ul Hassan SyedVerified account @iqrarulhassan,21-Jan,#JusticeForZainab,,"may she get the justice #JusticeForZainab https://twitter.com/iqrarulhassan/status/955023734754234368 … """"جینب اور شہد کی مکھیاں""""
لگتا ھے زینب امین کو آم ہی نہیں گلابی رنگ بھی بہت پسند... http://facebook.com/iqrarulhassan/posts/1800654066620440 … pic.twitter.com/I5sigkG6iQ",5 14 14 100 100,"Retweet
    
      
    14
  
  
    
      
      Retweeted
    
      
    14",,"Like
    
      
    100
  
  
    
      
      
      Liked
    
      
    100",/sadafaj/status/955028793902751744
@DrAyeshaNaveed @DrAyeshaNaveed @DrAyeshaNaveed @DrAyeshaNaveed @DrAyeshaNaveed,Dr Ayesha‏ @DrAyeshaNaveed,20-Jan,"#Zainab,JusticeForZainab",#JusticeForZainab,"This is the place where body of #Zainab was found . 10 days passed yet her murderer and abuser rooms around freely .
#JusticeForZainab 
What are you doing Mr @CMShehbaz ????pic.twitter.com/HYNsxPUmt9",11 23 23 61 61,"Retweet
    
      
    23
  
  
    
      
      Retweeted
    
      
    23",,"Like
    
      
    61
  
  
    
      
      
      Liked
    
      
    61",/DrAyeshaNaveed/status/954764987343532034
@PYOSindh @PYOSindh @PYOSindh @PYOSindh @PYOSindh,PYO Sindh Official‏ @PYOSindh,19-Jan,#JusticeForZainab,,"Newspaper reports regarding yesterday's protest and candles vigil by People’s Youth Organisations Sindh for Zainab at Karachi Press club
#JusticeForZainab pic.twitter.com/97eI3d3vXN",21 21 36 36,"Retweet
    
      
    21
  
  
    
      
      Retweeted
    
      
    21",,"Like
    
      
    36
  
  
    
      
      
      Liked
    
      
    36",/PYOSindh/status/954581100436877312
