UserName,FullName,Date,First Hashtags,Alt Hashtags,Tweet,Retweets,Retweets (w/ Text),Likes,Likes (w/ Text),URL Path
@EjazChaudhary @EjazChaudhary @EjazChaudhary @EjazChaudhary @EjazChaudhary,Ejaz Chaudhary‏ @EjazChaudhary,29-Apr,#PTIMinarePakistanJalsa,,"Have a look at Naya Pakistan 
1. Education
2. Healthcare
3. Tax Reform
4. Corruption Control
5. Economy
6. Employment/Industry
7. Tourism/Environment
8. Agriculture/Samall farmer
9. Strong Federation(S Punjab)
10.Justice(Police)
11.Women 
@PTIofficial 
#PTIMinarePakistanJalsa",147 806 806 3.7K 3.7K,"Retweet
    
      
    806
  
  
    
      
      Retweeted
    
      
    806",,"Like
    
      
    3.7K
  
  
    
      
      
      Liked
    
      
    3.7K",/EjazChaudhary/status/990694324697518081
@jyoti14107 @jyoti14107 @jyoti14107 @jyoti14107 @jyoti14107,Ramanjot Insa‏ @jyoti14107,29-Apr,"#शैतानियत_बंद,SaintDrGurmeetRamRahimJi_Initiative105",#SaintDrGurmeetRamRahimJi_Initiative105,"Let's join together to end child trafficking #शैतानियत_बंद
#SaintDrGurmeetRamRahimJi_Initiative105 pic.twitter.com/liWFSTSTKM",1 93 93 26 26,"Retweet
    
      
    93
  
  
    
      
      Retweeted
    
      
    93",,"Like
    
      
    26
  
  
    
      
      
      Liked
    
      
    26",/jyoti14107/status/990762006679519232
@Toorjaswinder1 @Toorjaswinder1 @Toorjaswinder1 @Toorjaswinder1 @Toorjaswinder1,🇮🇳Jaswinder Toor 🇮🇳‏ @Toorjaswinder1,23-Apr,"#SaintMSG_Initiative96,राहत_ए_इंसानियत",#राहत_ए_इंसानियत,"#SaintMSG_Initiative96 #राहत_ए_इंसानियत  
To adopt those children whose Parents have died in any misfortune. pic.twitter.com/whE5QmqQOb",112 112 36 36,"Retweet
    
      
    112
  
  
    
      
      Retweeted
    
      
    112",,"Like
    
      
    36
  
  
    
      
      
      Liked
    
      
    36",/Toorjaswinder1/status/988421501463547906
@aleemkhan_pti @aleemkhan_pti @aleemkhan_pti @aleemkhan_pti @aleemkhan_pti,Abdul Aleem Khan‏Verified account @aleemkhan_pti,11h11 hours ago,,,"The despicable language used by Rana Sana & Abid Sher Ali for PTI women is a reflection of their misogynostic mindset & regressive ideas about women.
Disrespecting women has become routine for many PMLN leaders,manifesting their primitiveness as to how they view women of Pakistan",29 213 213 874 874,"Retweet
    
      
    213
  
  
    
      
      Retweeted
    
      
    213",,"Like
    
      
    874
  
  
    
      
      
      Liked
    
      
    874",/aleemkhan_pti/status/991009381541138439
@insan_smiley @insan_smiley @insan_smiley @insan_smiley @insan_smiley,smiley insan‏ @insan_smiley,25-Apr,"#बाल_रक्षक,SaintDrGurmeetRamRahimJi_Initiative101",#SaintDrGurmeetRamRahimJi_Initiative101,"#बाल_रक्षक
#SaintDrGurmeetRamRahimJi_Initiative101 @Gurmeetramrahim said that No child should have to work pic.twitter.com/Fh4zjTMQkg",105 105 31 31,"Retweet
    
      
    105
  
  
    
      
      Retweeted
    
      
    105",,"Like
    
      
    31
  
  
    
      
      
      Liked
    
      
    31",/insan_smiley/status/989313651940052992
@SoniaBa86721635 @SoniaBa86721635 @SoniaBa86721635 @SoniaBa86721635 @SoniaBa86721635,Sonia Bajaj‏ @SoniaBa86721635,3h3 hours ago,"#सच्ची_शिक्षा,SaintDrGurmeetRamRahimJi_Initiative106",#SaintDrGurmeetRamRahimJi_Initiative106,"#सच्ची_शिक्षा
#SaintDrGurmeetRamRahimJi_Initiative106 helping the poor children by paying their fee so that they can get studies",43 43 9 9,"Retweet
    
      
    43
  
  
    
      
      Retweeted
    
      
    43",,"Like
    
      
    9
  
  
    
      
      
      Liked
    
      
    9",/SoniaBa86721635/status/991126600535207938
@PinkyMittal10 @PinkyMittal10 @PinkyMittal10 @PinkyMittal10 @PinkyMittal10,Pinky Mittal ❤  ❤‏ @PinkyMittal10,25-Apr,"#बाल_रक्षक,SaintDrGurmeetRamRahimJi_Initiative101",#SaintDrGurmeetRamRahimJi_Initiative101,"#बाल_रक्षक
#SaintDrGurmeetRamRahimJi_Initiative101
Child labour is crime 
Child's Right is Education pic.twitter.com/FwEjiDFYDG",2 110 110 23 23,"Retweet
    
      
    110
  
  
    
      
      Retweeted
    
      
    110",,"Like
    
      
    23
  
  
    
      
      
      Liked
    
      
    23",/PinkyMittal10/status/989306668369481728
@KkkRuby @KkkRuby @KkkRuby @KkkRuby @KkkRuby,Ruby Kkk‏ @KkkRuby,25-Apr,"#बाल_रक्षक,SaintDrGurmeetRamRahimJi_Initiative101",#SaintDrGurmeetRamRahimJi_Initiative101,"#बाल_रक्षक
#SaintDrGurmeetRamRahimJi_Initiative101 stop to child labor make them educated..",73 73 22 22,"Retweet
    
      
    73
  
  
    
      
      Retweeted
    
      
    73",,"Like
    
      
    22
  
  
    
      
      
      Liked
    
      
    22",/KkkRuby/status/989314170611941376
@komalkamboj24 @komalkamboj24 @komalkamboj24 @komalkamboj24 @komalkamboj24,komal kamboj lnsan‏ @komalkamboj24,23-Apr,"#SaintMSG_Initiative96,राहत_ए_इंसानियत",#राहत_ए_इंसानियत,"*#SaintMSG_Initiative96*
*#राहत_ए_इंसानियत* not only adopting but keep them as their own children pic.twitter.com/YPxm9eudx2",45 45 15 15,"Retweet
    
      
    45
  
  
    
      
      Retweeted
    
      
    45",,"Like
    
      
    15
  
  
    
      
      
      Liked
    
      
    15",/komalkamboj24/status/988422616540110849
@Sapnainsaan2 @Sapnainsaan2 @Sapnainsaan2 @Sapnainsaan2 @Sapnainsaan2,Sapnakhosla‏ @Sapnainsaan2,29-Apr,"#शैतानियत_बंद,SaintDrGurmeetRamRahimJi_Initiative105",#SaintDrGurmeetRamRahimJi_Initiative105,"#शैतानियत_बंद
#SaintDrGurmeetRamRahimJi_Initiative105
@Gurmeetramrahim 
Help End The Trafficking of children pic.twitter.com/WNUEMWqHpS",55 55 13 13,"Retweet
    
      
    55
  
  
    
      
      Retweeted
    
      
    55",,"Like
    
      
    13
  
  
    
      
      
      Liked
    
      
    13",/Sapnainsaan2/status/990761680379396096
@StereoWrite_ @StereoWrite_ @StereoWrite_ @StereoWrite_ @StereoWrite_,Maimoona‏ @StereoWrite_,25-Apr,,,"Nawaz Sharif & his children are a victim of planned campaign. They're fighting back 'cause they have done no wrong. ENOUGH IS ENOUGH, NO MORE DICTATION",6 73 73 239 239,"Retweet
    
      
    73
  
  
    
      
      Retweeted
    
      
    73",,"Like
    
      
    239
  
  
    
      
      
      Liked
    
      
    239",/StereoWrite_/status/989231405065523201
@HeenaIn2617 @HeenaIn2617 @HeenaIn2617 @HeenaIn2617 @HeenaIn2617,❤साईं की जोगण ❤‏ @HeenaIn2617,25-Apr,"#SaintDrGurmeetRamRahimJi_Initiative101,बाल_रक्षक",#बाल_रक्षक,"#SaintDrGurmeetRamRahimJi_Initiative101
#बाल_रक्षक 
Say no to child labour pic.twitter.com/zMf8n9cQdL",1 53 53 22 22,"Retweet
    
      
    53
  
  
    
      
      Retweeted
    
      
    53",,"Like
    
      
    22
  
  
    
      
      
      Liked
    
      
    22",/HeenaIn2617/status/989328381085806593
@GURKIRTANINSAN @GURKIRTANINSAN @GURKIRTANINSAN @GURKIRTANINSAN @GURKIRTANINSAN,💓MYLORDMSG 😍‏ @GURKIRTANINSAN,26-Apr,"#विद्या_दान,SaintDrGurmeetRamRahimJi_Initiative103",#SaintDrGurmeetRamRahimJi_Initiative103,"Eradicating Child Labour &Providing them Education.
EDUCATION ENDOWMENT! #विद्या_दान #SaintDrGurmeetRamRahimJi_Initiative103 pic.twitter.com/M1UjNzFapU",57 57 19 19,"Retweet
    
      
    57
  
  
    
      
      Retweeted
    
      
    57",,"Like
    
      
    19
  
  
    
      
      
      Liked
    
      
    19",/GURKIRTANINSAN/status/989694028714213376
@PTIOfficialLHR @PTIOfficialLHR @PTIOfficialLHR @PTIOfficialLHR @PTIOfficialLHR,PTI Lahore Official‏Verified account @PTIOfficialLHR,10h10 hours ago,#PTIForWomenEmpowerment,,"Women have always been on the forefront during the quest for Naya Pakistan. 
Our women are our Pride. 
#PTIForWomenEmpowerment pic.twitter.com/dPUv30rMTm",4 70 70 238 238,"Retweet
    
      
    70
  
  
    
      
      Retweeted
    
      
    70",,"Like
    
      
    238
  
  
    
      
      
      Liked
    
      
    238",/PTIOfficialLHR/status/991029604138790917
@shareeeeefaf @shareeeeefaf @shareeeeefaf @shareeeeefaf @shareeeeefaf,;_;‏ @shareeeeefaf,25-Apr,,,when she's a feminist and you're a women respecting machine pic.twitter.com/a3LCBbi82h,2 35 35 56 56,"Retweet
    
      
    35
  
  
    
      
      Retweeted
    
      
    35",,"Like
    
      
    56
  
  
    
      
      
      Liked
    
      
    56",/shareeeeefaf/status/989193124152004609
@ShirazHassan @ShirazHassan @ShirazHassan @ShirazHassan @ShirazHassan,Shiraz Hassan‏Verified account @ShirazHassan,29-Apr,"#PTMSwat,PashtunLongMarch2Lahore",#PashtunLongMarch2Lahore,"Women at #PTMSwat jalsa 
#PashtunLongMarch2Lahore pic.twitter.com/mOYIkcRRg4",35 35 61 61,"Retweet
    
      
    35
  
  
    
      
      Retweeted
    
      
    35",,"Like
    
      
    61
  
  
    
      
      
      Liked
    
      
    61",/ShirazHassan/status/990559024243494913
@Amandee38287140 @Amandee38287140 @Amandee38287140 @Amandee38287140 @Amandee38287140,Amandeep‏ @Amandee38287140,3h3 hours ago,"#सच्ची_शिक्षा,SaintDrGurmeetRamRahimJi_Initiative106",#SaintDrGurmeetRamRahimJi_Initiative106,"Let's join hand in this initiative to provide education to those Children who need it 
Nd provide every kind of things which ever they need 
Like books ,pen , pencil etc.....
#सच्ची_शिक्षा
#SaintDrGurmeetRamRahimJi_Initiative106
@Gurmeetramrahim @derasachasauda pic.twitter.com/Q4dMXJG8lV",71 71 22 22,"Retweet
    
      
    71
  
  
    
      
      Retweeted
    
      
    71",,"Like
    
      
    22
  
  
    
      
      
      Liked
    
      
    22",/Amandee38287140/status/991130937793499136
@Khan_Pinkie @Khan_Pinkie @Khan_Pinkie @Khan_Pinkie @Khan_Pinkie,Pinkie Pashteen‏ @Khan_Pinkie,29-Apr,"#PashtoonLongMarch2Swat,PashtunLongMarch2Swat",#PashtunLongMarch2Swat,A mother of missing praying for the child's recovery at Swat Jalsa #PashtoonLongMarch2Swat  #PashtunLongMarch2Swat pic.twitter.com/QWvjU2XJg8,5 101 101 132 132,"Retweet
    
      
    101
  
  
    
      
      Retweeted
    
      
    101",,"Like
    
      
    132
  
  
    
      
      
      Liked
    
      
    132",/Khan_Pinkie/status/990524885687525376
@Meenaarora777 @Meenaarora777 @Meenaarora777 @Meenaarora777 @Meenaarora777,Meena Arora‏ @Meenaarora777,24h24 hours ago,"#शैतानियत_बंद,SaintDrGurmeetRamRahimJi_Initiative105",#SaintDrGurmeetRamRahimJi_Initiative105,"#शैतानियत_बंद
#SaintDrGurmeetRamRahimJi_Initiative105
Stop child Trafficking pic.twitter.com/IX97xwD2QS",14 14 1 1,"Retweet
    
      
    14
  
  
    
      
      Retweeted
    
      
    14",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/Meenaarora777/status/990817109172076544
@jyoti14107 @jyoti14107 @jyoti14107 @jyoti14107 @jyoti14107,Ramanjot Insa‏ @jyoti14107,29-Apr,"#शैतानियत_बंद,SaintDrGurmeetRamRahimJi_Initiative105",#SaintDrGurmeetRamRahimJi_Initiative105,"#शैतानियत_बंद
#SaintDrGurmeetRamRahimJi_Initiative105
Resisting child trafficking by creating teams to check it pic.twitter.com/qQsaZLBBpR",1 71 71 19 19,"Retweet
    
      
    71
  
  
    
      
      Retweeted
    
      
    71",,"Like
    
      
    19
  
  
    
      
      
      Liked
    
      
    19",/jyoti14107/status/990760513561808896
@sahilkumar1215 @sahilkumar1215 @sahilkumar1215 @sahilkumar1215 @sahilkumar1215,SAHIL KUMAR‏ @sahilkumar1215,29-Apr,"#शैतानियत_बंद,SaintDrGurmeetRamRahimJi_Initiative105",#SaintDrGurmeetRamRahimJi_Initiative105,"#शैतानियत_बंद
#SaintDrGurmeetRamRahimJi_Initiative105
Resisting child trafficking by creating teams to check it pic.twitter.com/U8evuMeYTD",46 46 9 9,"Retweet
    
      
    46
  
  
    
      
      Retweeted
    
      
    46",,"Like
    
      
    9
  
  
    
      
      
      Liked
    
      
    9",/sahilkumar1215/status/990744837220519936
@SadiaRanaPTI @SadiaRanaPTI @SadiaRanaPTI @SadiaRanaPTI @SadiaRanaPTI,Sadia Rana‏ @SadiaRanaPTI,9h9 hours ago,#PTIForWomenEmpowerment,,"PTI women are our backbone, active participation of women in politics, would contribute towards overall political development !!
#PTIForWomenEmpowerment pic.twitter.com/ozRikqucIo",12 92 92 283 283,"Retweet
    
      
    92
  
  
    
      
      Retweeted
    
      
    92",,"Like
    
      
    283
  
  
    
      
      
      Liked
    
      
    283",/SadiaRanaPTI/status/991042459227566080
@sunita19910 @sunita19910 @sunita19910 @sunita19910 @sunita19910,Sunita Insan Sethi‏ @sunita19910,25-Apr,"#SaintDrGurmeetRamRahimJi_Initiative101,बाल_रक्षक",#बाल_रक्षक,"Children Deserve Holding Books Not Bricks....
Please Stop Child Labour!
#SaintDrGurmeetRamRahimJi_Initiative101
#बाल_रक्षक pic.twitter.com/h3aOi81s93",32 32 6 6,"Retweet
    
      
    32
  
  
    
      
      Retweeted
    
      
    32",,"Like
    
      
    6
  
  
    
      
      
      Liked
    
      
    6",/sunita19910/status/989358293893103616
@marvisirmed @marvisirmed @marvisirmed @marvisirmed @marvisirmed,Marvi Sirmed‏Verified account @marvisirmed,14h14 hours ago,,,"Rana Sanaullah's statement about women participating in yesterday's PTI jalsa, is puke worthy & despicable. PMLN men prove almost everyday the misogynist culture of their party and patriarchal character of their own. This entire lot of chauvinist males needs urgent replacement.",93 344 344 1.0K 1.0K,"Retweet
    
      
    344
  
  
    
      
      Retweeted
    
      
    344",,"Like
    
      
    1.0K
  
  
    
      
      
      Liked
    
      
    1.0K",/marvisirmed/status/990959815802408964
@Rajniinsa902 @Rajniinsa902 @Rajniinsa902 @Rajniinsa902 @Rajniinsa902,Rajni wadhwa insan‏ @Rajniinsa902,26-Apr,"#SaintDrGurmeetRamRahimJi_Initiative103,विद्या_दान",#विद्या_दान,"#SaintDrGurmeetRamRahimJi_Initiative103 
#विद्या_दान @Gurmeetramrahim
@derasachasauda volunteers providing free education and tututions to needy children pic.twitter.com/HpEJpdev8S",1 92 92 34 34,"Retweet
    
      
    92
  
  
    
      
      Retweeted
    
      
    92",,"Like
    
      
    34
  
  
    
      
      
      Liked
    
      
    34",/Rajniinsa902/status/989693210690699264
@ah02378 @ah02378 @ah02378 @ah02378 @ah02378,ਇੱਕ ਉਡੀਕ 😢ਤੇਰੇ ਆਉਣ ਦੀ.... Ⓜ 💲G‏ @ah02378,2h2 hours ago,"#SaintDrGurmeetRamRahimJi_Initiative106,सच्ची_शिक्षा",#सच्ची_शिक्षा,"#SaintDrGurmeetRamRahimJi_Initiative106 providing free books,clothes,shoes,education and every facilities to poorer children so that they made good person of country #सच्ची_शिक्षा pic.twitter.com/x9v9tWy9O0",8 8 1 1,"Retweet
    
      
    8
  
  
    
      
      Retweeted
    
      
    8",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/ah02378/status/991142085767127047
@pankajinsan911 @pankajinsan911 @pankajinsan911 @pankajinsan911 @pankajinsan911,Pankaj Arora‏ @pankajinsan911,24h24 hours ago,"#शैतानियत_बंद,SaintDrGurmeetRamRahimJi_Initiative105",#SaintDrGurmeetRamRahimJi_Initiative105,"#शैतानियत_बंद
#SaintDrGurmeetRamRahimJi_Initiative105
Help end the Trafficking of Children.. pic.twitter.com/699F5uraKn",23 23 3 3,"Retweet
    
      
    23
  
  
    
      
      Retweeted
    
      
    23",,"Like
    
      
    3
  
  
    
      
      
      Liked
    
      
    3",/pankajinsan911/status/990813555124400129
@PinkyMittal10 @PinkyMittal10 @PinkyMittal10 @PinkyMittal10 @PinkyMittal10,Pinky Mittal ❤  ❤‏ @PinkyMittal10,25-Apr,"#बाल_रक्षक,SaintDrGurmeetRamRahimJi_Initiative101",#SaintDrGurmeetRamRahimJi_Initiative101,"#बाल_रक्षक
#SaintDrGurmeetRamRahimJi_Initiative101
Stop child labour  saying @Gurmeetramrahim ji pic.twitter.com/8S64henFO2",1 104 104 30 30,"Retweet
    
      
    104
  
  
    
      
      Retweeted
    
      
    104",,"Like
    
      
    30
  
  
    
      
      
      Liked
    
      
    30",/PinkyMittal10/status/989306953103966209
@Rabipirzada @Rabipirzada @Rabipirzada @Rabipirzada @Rabipirzada,Rabi Pirzada‏Verified account @Rabipirzada,26-Apr,#metoo,,"Not only men, women harrassment should be discussed too... 
@DunyaNews #metoo pic.twitter.com/jqT3q7p5JZ",19 24 24 200 200,"Retweet
    
      
    24
  
  
    
      
      Retweeted
    
      
    24",,"Like
    
      
    200
  
  
    
      
      
      Liked
    
      
    200",/Rabipirzada/status/989413349069860864
@Meenaarora777 @Meenaarora777 @Meenaarora777 @Meenaarora777 @Meenaarora777,Meena Arora‏ @Meenaarora777,24h24 hours ago,"#शैतानियत_बंद,SaintDrGurmeetRamRahimJi_Initiative105",#SaintDrGurmeetRamRahimJi_Initiative105,"#शैतानियत_बंद
#SaintDrGurmeetRamRahimJi_Initiative105
Children are note for sale children are future of our country stop child Trafficking.. pic.twitter.com/RxUM62fJ7M",28 28 5 5,"Retweet
    
      
    28
  
  
    
      
      Retweeted
    
      
    28",,"Like
    
      
    5
  
  
    
      
      
      Liked
    
      
    5",/Meenaarora777/status/990816839595782144
@Toorjaswinder1 @Toorjaswinder1 @Toorjaswinder1 @Toorjaswinder1 @Toorjaswinder1,🇮🇳Jaswinder Toor 🇮🇳‏ @Toorjaswinder1,25-Apr,"#बाल_रक्षक,SaintDrGurmeetRamRahimJi_Initiative101",#SaintDrGurmeetRamRahimJi_Initiative101,"#बाल_रक्षक
#SaintDrGurmeetRamRahimJi_Initiative101
Stopping child labor as well as promoting education.",75 75 17 17,"Retweet
    
      
    75
  
  
    
      
      Retweeted
    
      
    75",,"Like
    
      
    17
  
  
    
      
      
      Liked
    
      
    17",/Toorjaswinder1/status/989312534099439617
@MeenuIn50 @MeenuIn50 @MeenuIn50 @MeenuIn50 @MeenuIn50,Meenu‏ @MeenuIn50,2h2 hours ago,"#SaintDrGurmeetRamRahimJi_Initiative106,सच्ची_शिक्षा",#सच्ची_शिक्षा,"#SaintDrGurmeetRamRahimJi_Initiative106
#सच्ची_शिक्षा
A primary free school for the children of poor workmen has been established in @derasachasauda & more than  150 children are availing the benefits of this school..... pic.twitter.com/v9jrzWw9vR",62 62 14 14,"Retweet
    
      
    62
  
  
    
      
      Retweeted
    
      
    62",,"Like
    
      
    14
  
  
    
      
      
      Liked
    
      
    14",/MeenuIn50/status/991136366095314944
