,head,topic_rep
109,Fundamentals rule global crude market,0.4936193525791168
110,US investors wary of inconsistent policies,0.3663845658302307
111,"PSX, Asia’s best stock market last year, humbled in first half",0.49925389885902405
112,Bank profits dealt a blow on low bond yields,0.9962301850318909
113,NON-FICTION: THE STORY OF THE SUBCONTINENT,0.18161064386367798
114,The strangest plot,0.032278042286634445
115,Xi talks tough on Hong Kong as protesters call for democracy,0.023455368354916573
116,ARE THE YOUNG REALLY SO SELF-OBSESSED?,0.05342114344239235
117,"Three car bombs hit Damascus, seven people killed",0.0
118,‘Cornered’ PML-N warns rivals not to derail democracy,0.0
119,LITBUZZ: ‘GLORIOUS AND UNUSUAL NOVEL’ WINS WALTER SCOTT PRIZE,0.02010738104581833
120,"AAE-1 submarine internet cable linking Asia, Africa and Europe starts operations",0.23504912853240967
121,5 dead in Multan as LPG cylinder explodes in vehicle,0.0
122,PM's cousin Tariq Shafi makes second appearance before Panama JIT,0.0
123,US decision will not affect legitimate struggle for Kashmir's freedom: Syed Salahuddin,0.0
124,Rafique claims warning to rivals own personal view,0.0
125,Guy Ritchie will cast Indian actors as Aladdin and Jasmin after facing backlash,0.052234116941690445
126,China taps 'combustible ice' for growing energy needs,0.6159019470214844
127,"Trump to speak with Xi, Abe as North Korea, steel issues loom",0.07920133322477341
128,Qatar says Arab demands 'made to be rejected',0.023126183077692986
129,"Delegation of US Senators meets Sartaj, highlight Pakistan's regional importance",0.019465936347842216
130,"Armeena Khan stands up for Pakistani female actors, fights against online abuse",0.0
131,Pakistan denies India consular access to Jadhav again,0.0
132,Imran urges Pakistanis to read Davis’ book,0.0
133,Defiant Salahuddin denounces terrorist designation,0.0
134,5 arrested for ‘beating up’ army officer,0.0
135,Zardari slams Sharif for staying away from NA sessions,0.017676476389169693
136,PM criticised for not visiting Parachinar,0.0
137,AJK surgical strikes planned after success in Myanmar: Parrikar,0.03417957201600075
138,COMMENT: Pakistan cricket must constantly rage against dying of the light,0.0
139,"Compared to other arts, why does dance carry the most stigma in Pakistan?",0.05126572027802467
140,SMOKERS’ CORNER: DISCO AND THE DICTATOR,0.03727291524410248
141,Even world establishment can’t save rulers: JI,0.0
142,Fireworks likely in Sindh PA over anti-NAB bill today,0.03257112205028534
143,"IGP Khowaja says excluding him from transfer, posting process to hit police performance",0.16763660311698914
144,"Sindh govt’s actions against NAB, IGP condemned",0.0
145,"Strong system, institutions ensure no one is corrupt: Imran",0.0
146,Stoppage pushes train passengers to protest,0.0
147,PML-N against ‘populist decision’,0.0
148,25 arrested over kite flying,0.0
149,"Absence from duty on Eid: Eight doctors, 14 nurses of DHQ hospital suspended",0.0
150,Businessmen support border fencing,0.2018061727285385
151,Under-trial prisoner commits suicide,0.0
